date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Alan  ROURA,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Alan  ROURA,,46.4286111111111,-1.81611111111111,357,0.0,0.0,18.3,27.3,15.1,141
2020-11-08 15:00:00,Alan  ROURA,,46.3552777777778,-2.36222222222222,259,28.45,14.62,16.4,35.7,19.1,142.0
2020-11-08 17:00:00,Alan  ROURA,,46.3813888888889,-3.05972222222222,273,35.73,16.06,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Alan  ROURA,,46.4619444444444,-4.41583333333333,274,26.08,11.01,16.2,28.4,22.7,195.0
2020-11-09 04:00:00,Alan  ROURA,,46.3369444444444,-6.20361111111111,264,19.69,8.6,15.0,48.6,37.4,217.2
2020-11-09 08:00:00,Alan  ROURA,,46.4316666666667,-7.11916666666667,278,20.3,4.91,14.6,32.4,26.3,237.9
2020-11-09 11:00:00,Alan  ROURA,,46.6244444444444,-7.75416666666667,294,17.69,0.07,17.4,31.7,14.8,300.0
2020-11-09 14:00:00,Alan  ROURA,,46.5138888888889,-8.21777777777778,251,12.5,4.55,14.7,30.2,23.8,269.2
2020-11-09 17:00:00,Alan  ROURA,,46.0863888888889,-8.52083333333333,206,17.65,9.51,14.8,27.7,21.6,287.2
2020-11-09 21:00:00,Alan  ROURA,,45.4513888888889,-9.19277777777778,216,19.5,10.22,14.9,24.8,20.9,274.4
2020-11-10 04:00:00,Alan  ROURA,,44.7688888888889,-9.76277777777778,210,12.59,6.72,15.4,20.9,20.2,218.6
2020-11-10 08:00:00,Alan  ROURA,,44.2338888888889,-9.74,178,14.87,7.4,15.6,25.9,20.2,214.7
2020-11-10 11:00:00,Alan  ROURA,,44.1052777777778,-10.3113888888889,252,15.91,5.41,15.8,32.8,25.6,199.8
2020-11-10 14:00:00,Alan  ROURA,,43.9666666666667,-11.0436111111111,255,20.19,6.35,16.2,38.9,29.9,207.3
2020-11-10 17:00:00,Alan  ROURA,,43.8691666666667,-11.6786111111111,258,20.8,5.94,16.6,44.3,33.8,197.8
2020-11-10 21:00:00,Alan  ROURA,,43.7180555555556,-12.8969444444444,260,22.04,5.78,17.0,55.4,40.3,193.8
2020-11-11 04:00:00,Alan  ROURA,,43.4638888888889,-14.9744444444444,260,24.24,6.05,17.3,75.6,59.0,194.7
2020-11-11 08:00:00,Alan  ROURA,,43.0733333333333,-15.8783333333333,239,21.28,8.18,14.7,51.1,35.6,318.8
2020-11-11 11:00:00,Alan  ROURA,,42.3455555555556,-16.2947222222222,203,29.26,15.59,15.1,34.9,24.8,329.3
2020-11-11 14:00:00,Alan  ROURA,,41.8316666666667,-16.8180555555556,217,23.87,11.77,15.2,27.7,18.7,345.9
