date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Alex THOMSON,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Alex THOMSON,,46.42,-1.82416666666667,357,0.0,0.0,18.4,27.4,15.1,141
2020-11-08 15:00:00,Alex THOMSON,,46.3113888888889,-2.5275,257,36.87,19.13,15.7,37.1,20.5,140.0
2020-11-08 17:00:00,Alex THOMSON,,46.2555555555556,-3.31555555555556,264,40.58,19.86,16.0,34.6,25.9,160.3
2020-11-08 21:00:00,Alex THOMSON,,46.1441666666667,-4.66805555555556,263,26.21,12.61,16.7,29.5,23.4,199.9
2020-11-09 04:00:00,Alex THOMSON,,46.4877777777778,-6.88138888888889,282,24.89,8.0,14.7,45.7,32.0,224.1
2020-11-09 08:00:00,Alex THOMSON,,46.5311111111111,-7.72111111111111,274,18.41,3.45,14.9,34.2,25.9,251.9
2020-11-09 11:00:00,Alex THOMSON,,46.3783333333333,-8.11527777777778,241,11.54,4.96,17.4,32.0,14.8,300.0
2020-11-09 14:00:00,Alex THOMSON,,45.9775,-8.34611111111111,202,16.0,8.63,15.0,31.0,23.4,263.4
2020-11-09 17:00:00,Alex THOMSON,,45.5430555555556,-8.74916666666667,213,19.19,10.2,15.0,28.8,22.0,289.0
2020-11-09 21:00:00,Alex THOMSON,,44.7922222222222,-9.32805555555555,208,21.11,11.34,15.1,22.3,19.8,267.1
2020-11-10 04:00:00,Alex THOMSON,,44.1558333333333,-9.82361111111111,209,11.56,6.19,15.0,21.2,20.2,219.8
2020-11-10 08:00:00,Alex THOMSON,,44.1913888888889,-10.7647222222222,273,18.8,3.24,15.9,30.6,24.1,215.9
2020-11-10 11:00:00,Alex THOMSON,,44.1819444444444,-11.535,269,20.46,4.0,16.2,37.1,29.2,206.7
2020-11-10 14:00:00,Alex THOMSON,,44.1655555555556,-12.6572222222222,268,29.84,5.65,16.5,49.3,37.8,194.2
2020-11-10 17:00:00,Alex THOMSON,,44.0238888888889,-13.5194444444444,257,28.24,7.77,16.7,48.2,37.4,192.2
2020-11-10 21:00:00,Alex THOMSON,,43.8030555555556,-14.9972222222222,258,26.87,6.93,16.9,59.0,44.3,191.0
