date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Alexia BARRIER,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Alexia BARRIER,,46.4305555555556,-1.81527777777778,357,0.0,0.0,18.3,27.2,15.1,141
2020-11-08 15:00:00,Alexia BARRIER,,46.3608333333333,-2.29027777777778,258,24.82,12.82,16.9,33.8,18.4,142
2020-11-08 17:00:00,Alexia BARRIER,,46.3738888888889,-2.84833333333333,272,28.56,13.04,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Alexia BARRIER,,46.26,-3.96166666666667,261,21.61,10.64,16.1,26.6,19.8,182.0
2020-11-09 04:00:00,Alexia BARRIER,,46.2752777777778,-5.61277777777778,270,18.13,7.72,15.4,42.5,35.3,209.1
2020-11-09 08:00:00,Alexia BARRIER,,46.4122222222222,-6.41,284,18.02,4.41,14.5,34.2,26.6,235.9
2020-11-09 11:00:00,Alexia BARRIER,,46.5527777777778,-7.04416666666667,288,17.0,2.33,15.1,31.3,22.0,246.7
2020-11-09 14:00:00,Alexia BARRIER,,46.3761111111111,-7.31777777777778,227,9.57,4.77,15.0,28.4,20.2,249.4
2020-11-09 17:00:00,Alexia BARRIER,,45.9247222222222,-7.565,201,17.89,9.65,17.7,27.7,9.4,360.0
2020-11-09 21:00:00,Alexia BARRIER,,45.3627777777778,-8.20861111111111,218,17.8,9.29,15.0,26.6,19.8,278.2
2020-11-10 04:00:00,Alexia BARRIER,,45.1433333333333,-9.20611111111111,252,11.69,4.11,15.1,20.5,19.4,229.6
2020-11-10 08:00:00,Alexia BARRIER,,44.8433333333333,-9.49083333333333,214,10.04,5.3,15.3,29.2,22.7,219.4
2020-11-10 11:00:00,Alexia BARRIER,,44.6238888888889,-9.81694444444444,226,11.83,5.79,15.9,30.6,23.0,205.0
2020-11-10 14:00:00,Alexia BARRIER,,44.5213888888889,-10.4797222222222,258,17.91,5.35,16.0,40.7,30.2,207.6
2020-11-10 17:00:00,Alexia BARRIER,,44.4533333333333,-11.05,260,18.35,4.95,16.2,44.6,32.4,200.5
2020-11-10 21:00:00,Alexia BARRIER,,44.2383333333333,-12.0883333333333,253,19.09,6.07,16.8,55.1,39.2,198.2
2020-11-11 04:00:00,Alexia BARRIER,,44.0141666666667,-13.4419444444444,257,15.83,4.49,16.9,70.2,51.1,187.7
2020-11-11 08:00:00,Alexia BARRIER,,43.8263888888889,-14.2725,252,17.43,5.28,16.2,70.2,43.9,311.7
2020-11-11 11:00:00,Alexia BARRIER,,43.4833333333333,-14.5177777777778,207,14.32,7.56,15.0,44.6,30.6,301.6
2020-11-11 14:00:00,Alexia BARRIER,,43.0266666666667,-14.8594444444444,208,19.28,10.13,15.0,32.4,24.8,313.2
2020-11-11 17:00:00,Alexia BARRIER,,42.6163888888889,-15.2463888888889,215,18.48,9.39,15.1,24.1,12.6,341.6
2020-11-11 21:00:00,Alexia BARRIER,,42.3505555555556,-15.64,227,10.95,4.95,14.9,11.5,4.7,119.8
2020-11-12 04:00:00,Alexia BARRIER,,42.1666666666667,-16.1161111111111,242,6.32,2.26,15.4,15.1,10.1,151.1
2020-11-12 08:00:00,Alexia BARRIER,,41.7738888888889,-16.8522222222222,234,18.72,7.63,17.0,28.8,20.5,154.5
2020-11-12 11:00:00,Alexia BARRIER,,41.4488888888889,-17.5527777777778,238,22.84,8.6,17.9,30.6,28.8,203.8
2020-11-12 14:00:00,Alexia BARRIER,,41.1444444444444,-18.0772222222222,232,18.46,7.53,17.5,27.0,16.6,166.5
2020-11-12 17:00:00,Alexia BARRIER,,40.8786111111111,-18.6077777777778,236,17.82,6.71,17.6,32.0,28.8,356.6
2020-11-12 21:00:00,Alexia BARRIER,,40.3461111111111,-19.3552777777778,227,21.63,9.35,17.2,43.2,25.6,3.6
2020-11-13 04:00:00,Alexia BARRIER,,39.5852777777778,-20.07,216,14.89,7.17,17.5,25.9,13.3,19.2
2020-11-13 08:00:00,Alexia BARRIER,,39.1786111111111,-19.7163888888889,146,13.61,5.51,17.6,19.1,11.5,3.0
2020-11-13 11:00:00,Alexia BARRIER,,39.0105555555556,-19.7077777777778,178,6.24,3.31,17.7,12.6,9.7,327.9
2020-11-13 14:00:00,Alexia BARRIER,,38.8444444444444,-19.8372222222222,211,7.2,3.58,17.8,11.5,7.2,300.6
2020-11-13 17:00:00,Alexia BARRIER,,38.6822222222222,-19.8619444444444,187,6.06,3.27,17.7,13.0,3.6,249.8
2020-11-13 21:00:00,Alexia BARRIER,,38.4744444444444,-19.9316666666667,195,5.96,3.2,18.1,18.0,11.2,201.5
2020-11-14 04:00:00,Alexia BARRIER,,38.0722222222222,-20.1052777777778,199,6.74,3.58,19.0,10.4,3.6,219.5
2020-11-14 08:00:00,Alexia BARRIER,,37.7602777777778,-20.3322222222222,210,10.0,5.01,19.0,9.4,5.4,236.8
2020-11-14 11:00:00,Alexia BARRIER,,37.5833333333333,-20.4502777777778,208,7.41,3.76,19.1,23.8,17.6,328.9
2020-11-14 14:00:00,Alexia BARRIER,,37.1488888888889,-20.6888888888889,204,17.58,9.12,18.9,19.1,10.8,314.4
2020-11-14 17:00:00,Alexia BARRIER,,36.9047222222222,-20.8038888888889,201,9.67,5.08,19.0,23.0,16.9,332.7
2020-11-14 21:00:00,Alexia BARRIER,,36.4441666666667,-21.0013888888889,199,13.54,7.15,19.3,20.5,9.7,339.0
2020-11-15 04:00:00,Alexia BARRIER,,35.7394444444444,-21.3480555555556,202,12.04,6.29,19.7,27.0,19.1,354.9
2020-11-15 08:00:00,Alexia BARRIER,,35.2102777777778,-21.7013888888889,208,16.74,8.37,20.0,24.1,18.4,16.8
2020-11-15 11:00:00,Alexia BARRIER,,34.8066666666667,-21.5641666666667,164,15.54,7.82,20.2,27.7,17.6,37.2
2020-11-15 14:00:00,Alexia BARRIER,,34.32,-21.5786111111111,181,18.04,9.71,20.3,32.0,19.8,29.7
2020-11-15 17:00:00,Alexia BARRIER,,33.7641666666667,-21.4830555555556,172,20.82,10.9,20.5,35.3,22.3,29.7
2020-11-15 21:00:00,Alexia BARRIER,,32.9694444444444,-21.285,168,22.58,11.59,20.6,34.6,25.9,20.0
2020-11-16 04:00:00,Alexia BARRIER,,31.8202777777778,-20.7197222222222,158,19.76,9.31,21.4,33.1,25.2,338.3
2020-11-16 08:00:00,Alexia BARRIER,,31.1316666666667,-20.7075,179,19.15,10.21,21.5,26.6,19.1,321.4
2020-11-16 11:00:00,Alexia BARRIER,,30.7672222222222,-21.0344444444444,217,17.06,8.03,21.7,17.6,10.4,315.8
2020-11-16 14:00:00,Alexia BARRIER,,30.5713888888889,-21.2933333333333,229,10.98,4.48,21.5,9.7,2.2,241.0
2020-11-16 17:00:00,Alexia BARRIER,,30.4777777777778,-21.3355555555556,201,3.72,1.95,21.5,7.6,6.5,175.6
2020-11-16 21:00:00,Alexia BARRIER,,30.1733333333333,-21.6477777777778,221,11.3,5.04,21.8,14.0,9.0,167.0
2020-11-17 04:00:00,Alexia BARRIER,,29.8,-22.3680555555556,239,11.56,3.82,21.9,24.5,16.2,177.9
2020-11-17 08:00:00,Alexia BARRIER,,29.6247222222222,-22.8258333333333,246,12.08,3.18,21.2,19.4,11.5,255.4
2020-11-17 11:00:00,Alexia BARRIER,,29.5511111111111,-23.1055555555556,253,9.41,1.84,21.4,13.7,5.8,257.8
2020-11-17 14:00:00,Alexia BARRIER,,29.4144444444444,-23.2686111111111,226,7.3,2.92,22.0,14.4,8.6,301.5
2020-11-17 17:00:00,Alexia BARRIER,,29.3275,-23.3005555555556,198,3.39,1.77,22.0,14.0,10.1,353.7
2020-11-17 21:00:00,Alexia BARRIER,,28.9905555555556,-23.4941666666667,207,10.48,5.2,22.3,22.3,14.8,23.3
2020-11-18 04:00:00,Alexia BARRIER,,28.07,-23.7591666666667,194,15.09,7.99,22.2,39.6,29.9,39.6
2020-11-18 08:00:00,Alexia BARRIER,,27.3352777777778,-23.9755555555556,195,21.11,11.15,22.6,46.8,35.6,41.9
2020-11-18 11:00:00,Alexia BARRIER,,26.7905555555556,-24.2261111111111,202,21.82,11.07,22.8,48.2,36.7,45.6
2020-11-18 14:00:00,Alexia BARRIER,,26.1936111111111,-24.5319444444444,205,24.35,12.11,23.0,50.4,38.2,47.6
2020-11-18 17:00:00,Alexia BARRIER,,25.6497222222222,-24.8169444444444,205,22.28,10.98,23.2,53.6,40.3,47.8
2020-11-18 21:00:00,Alexia BARRIER,,24.8005555555556,-25.1105555555556,197,24.74,12.78,23.5,55.4,43.6,47.6
2020-11-19 04:00:00,Alexia BARRIER,,23.3466666666667,-25.4830555555556,193,23.72,12.46,23.9,56.2,43.2,50.9
2020-11-19 08:00:00,Alexia BARRIER,,22.5125,-25.6861111111111,193,23.76,12.46,24.0,56.5,42.8,47.8
2020-11-19 11:00:00,Alexia BARRIER,,21.8161111111111,-25.8897222222222,195,26.74,13.82,24.4,55.8,43.2,53.8
2020-11-19 14:00:00,Alexia BARRIER,,21.1375,-26.0680555555556,194,25.89,13.43,24.6,52.6,40.7,53.7
2020-11-19 17:00:00,Alexia BARRIER,,20.4841666666667,-26.3066666666667,199,25.59,12.81,24.7,49.7,37.4,53.9
2020-11-19 21:00:00,Alexia BARRIER,,19.6041666666667,-26.5477777777778,194,25.26,12.98,24.9,45.4,35.3,54.6
2020-11-20 04:00:00,Alexia BARRIER,,18.1294444444444,-26.9677777777778,195,24.26,12.47,24.7,45.7,36.4,47.6
2020-11-20 08:00:00,Alexia BARRIER,,17.3008333333333,-27.0177777777778,183,23.08,12.38,25.1,47.2,34.2,46.6
2020-11-20 11:00:00,Alexia BARRIER,,16.6975,-27.0875,186,22.48,11.97,25.6,41.4,31.7,51.1
2020-11-20 14:00:00,Alexia BARRIER,,16.0563888888889,-27.2658333333333,195,24.59,12.61,26.0,34.9,26.6,52.2
2020-11-20 17:00:00,Alexia BARRIER,,15.4727777777778,-27.4163888888889,194,22.28,11.47,26.2,33.8,24.1,62.1
2020-11-20 21:00:00,Alexia BARRIER,,14.7672222222222,-27.6597222222222,198,20.67,10.23,26.2,21.2,15.1,57.6
2020-11-21 04:00:00,Alexia BARRIER,,13.9325,-27.8455555555556,192,13.56,6.92,25.8,23.0,17.3,24.6
2020-11-21 08:00:00,Alexia BARRIER,,13.4113888888889,-27.6416666666667,159,15.5,8.15,26.0,29.2,21.6,32.9
2020-11-21 11:00:00,Alexia BARRIER,,13.0475,-27.5855555555556,171,13.63,7.36,26.4,29.9,20.9,38.2
2020-11-21 14:00:00,Alexia BARRIER,,12.6033333333333,-27.5566666666667,176,16.5,8.88,26.8,27.0,17.3,49.6
2020-11-21 17:00:00,Alexia BARRIER,,12.1611111111111,-27.5722222222222,182,16.39,8.72,26.9,21.2,14.0,50.4
