date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Ari HUUSELA,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Ari HUUSELA,,46.4275,-1.80361111111111,358,0.0,0.0,18.4,27.1,15.0,141
2020-11-08 15:00:00,Ari HUUSELA,,46.3013888888889,-2.22666666666667,246,23.58,12.67,17.5,32.8,17.4,147
2020-11-08 17:00:00,Ari HUUSELA,,46.2272222222222,-2.70083333333333,257,24.93,12.89,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Ari HUUSELA,,45.9638888888889,-3.77527777777778,250,21.96,11.63,16.1,25.6,18.4,179.6
2020-11-09 04:00:00,Ari HUUSELA,,45.9252777777778,-4.92361111111111,267,12.7,5.9,15.9,36.7,31.0,214.0
2020-11-09 08:00:00,Ari HUUSELA,,45.9033333333333,-5.68666666666667,267,16.87,7.19,14.8,42.8,31.7,228.7
2020-11-09 11:00:00,Ari HUUSELA,,45.9041666666667,-6.30833333333333,270,16.04,6.0,15.2,34.2,22.3,232.0
2020-11-09 14:00:00,Ari HUUSELA,,45.9908333333333,-6.91972222222222,281,16.08,3.91,15.1,31.0,19.8,237.1
2020-11-09 17:00:00,Ari HUUSELA,,45.6958333333333,-7.24944444444444,218,13.85,7.43,15.0,29.9,23.4,269.1
2020-11-09 21:00:00,Ari HUUSELA,,45.145,-7.87805555555556,218,17.45,9.3,15.0,27.0,20.2,277.8
2020-11-10 04:00:00,Ari HUUSELA,,44.2922222222222,-8.22027777777778,196,14.09,7.48,14.8,14.8,13.7,230.3
2020-11-10 08:00:00,Ari HUUSELA,,43.8377777777778,-8.42833333333333,198,13.3,6.95,13.6,25.2,7.3,155
2020-11-10 11:00:00,Ari HUUSELA,,43.7,-9.13916666666667,255,19.71,6.63,16.7,25.9,12.7,152
2020-11-10 14:00:00,Ari HUUSELA,,43.5752777777778,-9.885,257,20.54,6.46,15.8,32.8,27.7,192.3
2020-11-10 17:00:00,Ari HUUSELA,,43.4686111111111,-10.5119444444444,257,20.76,6.4,16.1,37.4,30.2,197.1
2020-11-10 21:00:00,Ari HUUSELA,,43.3472222222222,-11.6202777777778,261,20.11,5.36,16.7,48.2,33.8,193.8
2020-11-11 04:00:00,Ari HUUSELA,,43.1608333333333,-13.4344444444444,261,21.19,5.33,17.1,68.0,47.9,184.7
2020-11-11 08:00:00,Ari HUUSELA,,43.0936111111111,-14.5172222222222,265,22.06,4.44,17.2,72.7,36.0,289.8
2020-11-11 11:00:00,Ari HUUSELA,,42.7322222222222,-14.8097222222222,211,15.58,8.11,15.2,42.5,29.5,322.0
2020-11-11 14:00:00,Ari HUUSELA,,42.3627777777778,-15.2947222222222,224,19.04,8.99,15.3,31.3,23.4,332.3
2020-11-11 17:00:00,Ari HUUSELA,,42.1102777777778,-15.7319444444444,232,15.2,6.5,15.1,25.2,13.0,13.0
2020-11-11 21:00:00,Ari HUUSELA,,42.0355555555556,-16.0938888888889,254,7.76,2.05,15.0,14.8,7.6,100.4
2020-11-12 04:00:00,Ari HUUSELA,,41.5386111111111,-16.7330555555556,224,10.95,5.09,16.0,23.0,15.8,108.1
2020-11-12 08:00:00,Ari HUUSELA,,40.9244444444444,-17.3944444444444,219,21.96,10.62,18.2,30.2,25.2,176.8
2020-11-12 11:00:00,Ari HUUSELA,,40.5516666666667,-17.8752777777778,224,19.32,8.78,17.9,43.2,30.6,170.2
2020-11-12 14:00:00,Ari HUUSELA,,40.2538888888889,-18.4652777777778,236,19.98,7.58,18.7,44.3,22.3,197.9
2020-11-12 17:00:00,Ari HUUSELA,,40.1502777777778,-18.7919444444444,247,10.02,2.92,18.7,12.6,34.2,355.0
2020-11-12 21:00:00,Ari HUUSELA,,39.4238888888889,-19.5416666666667,218,25.78,12.22,17.5,43.2,27.7,5.5
2020-11-13 04:00:00,Ari HUUSELA,,38.5575,-20.6133333333333,224,19.09,8.45,17.6,29.2,16.9,19.3
2020-11-13 08:00:00,Ari HUUSELA,,38.4863888888889,-21.0513888888889,258,9.74,1.7,17.5,10.1,5.0,22.0
