date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Armel TRIPON,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Armel TRIPON,,46.4227777777778,-1.81055555555556,358,0.0,0.0,18.4,27.2,15.1,141
2020-11-08 15:00:00,Armel TRIPON,,46.3391666666667,-2.47722222222222,259,33.91,17.36,15.7,37.1,20.5,140.0
2020-11-08 17:00:00,Armel TRIPON,,46.3547222222222,-3.33222222222222,271,43.76,19.96,16.0,34.6,25.9,160.3
2020-11-08 21:00:00,Armel TRIPON,,46.2288888888889,-5.01361111111111,263,32.48,15.42,16.6,31.3,23.8,199.1
2020-11-09 04:00:00,Armel TRIPON,,46.4813888888889,-7.40944444444444,278,26.58,4.65,14.8,39.6,28.1,234.4
2020-11-09 08:00:00,Armel TRIPON,,46.9302777777778,-8.34944444444445,305,24.95,-2.54,14.4,36.4,27.7,254.0
2020-11-09 11:00:00,Armel TRIPON,,46.8325,-8.76666666666667,251,11.17,3.98,14.8,32.0,24.5,259.6
2020-11-09 14:00:00,Armel TRIPON,,46.305,-8.97277777777778,195,20.24,10.86,14.6,31.7,23.8,278.5
2020-11-09 17:00:00,Armel TRIPON,,45.845,-9.26055555555556,203,18.59,10.03,14.8,31.3,23.4,293.3
2020-11-09 21:00:00,Armel TRIPON,,45.0402777777778,-9.96972222222222,211,23.37,12.43,15.1,22.7,20.5,269.1
2020-11-10 04:00:00,Armel TRIPON,,44.5622222222222,-10.6927777777778,227,11.15,5.41,15.2,27.4,23.0,228.4
2020-11-10 08:00:00,Armel TRIPON,,44.7075,-11.7038888888889,281,20.41,1.7,16.0,36.7,28.1,207.3
2020-11-10 11:00:00,Armel TRIPON,,44.5869444444444,-12.595,259,23.93,6.39,16.6,47.2,35.6,197.6
2020-11-10 14:00:00,Armel TRIPON,,44.4375,-13.5102777777778,257,24.82,6.83,16.7,50.0,38.2,190.5
2020-11-10 17:00:00,Armel TRIPON,,44.2602777777778,-14.2169444444444,250,23.82,7.51,16.7,59.0,43.2,198.0
2020-11-10 21:00:00,Armel TRIPON,,43.9836111111111,-15.6177777777778,254,25.76,7.19,16.7,63.4,44.6,192.7
2020-11-11 04:00:00,Armel TRIPON,,44.1044444444444,-16.8575,277,14.28,0.82,14.3,72.0,47.9,312.7
2020-11-11 08:00:00,Armel TRIPON,,43.8525,-15.9644444444444,112,19.19,1.82,14.4,54.4,40.7,309.5
2020-11-11 11:00:00,Armel TRIPON,,43.8311111111111,-15.275,93,18.45,-1.77,14.6,43.9,29.5,294.6
2020-11-11 14:00:00,Armel TRIPON,,43.2352777777778,-15.1261111111111,170,22.45,11.06,14.9,32.4,23.4,299.3
2020-11-11 17:00:00,Armel TRIPON,,42.7688888888889,-15.0983333333333,178,17.3,8.95,15.0,23.8,13.3,326.8
2020-11-11 21:00:00,Armel TRIPON,,42.4025,-15.3319444444444,205,11.26,5.97,14.9,9.0,3.2,156.5
2020-11-12 04:00:00,Armel TRIPON,,42.2283333333333,-15.7327777777778,239,5.46,2.08,15.4,15.8,9.7,148.7
2020-11-12 08:00:00,Armel TRIPON,,41.8613888888889,-16.4308333333333,234,17.65,7.21,17.1,28.1,20.9,151.6
2020-11-12 11:00:00,Armel TRIPON,,41.4969444444444,-17.0430555555556,231,21.67,9.16,17.8,32.0,28.4,200.1
2020-11-12 14:00:00,Armel TRIPON,,41.2794444444444,-17.7480555555556,247,21.19,6.48,17.6,26.6,20.2,177.1
2020-11-12 17:00:00,Armel TRIPON,,41.0072222222222,-18.5455555555556,245,24.45,7.68,17.6,32.0,28.8,356.6
2020-11-12 21:00:00,Armel TRIPON,,40.3555555555556,-19.3469444444444,223,24.76,11.22,17.2,43.2,25.6,3.6
2020-11-13 04:00:00,Armel TRIPON,,39.3525,-19.0533333333333,167,16.33,8.22,17.5,34.2,21.6,7.5
2020-11-13 08:00:00,Armel TRIPON,,38.8811111111111,-18.6897222222222,149,15.26,6.31,17.6,25.2,17.3,6.2
2020-11-13 11:00:00,Armel TRIPON,,38.6827777777778,-18.3513888888889,127,12.24,3.01,18.0,20.5,16.2,347.7
2020-11-13 14:00:00,Armel TRIPON,,38.4125,-18.4886111111111,202,10.78,5.71,18.0,14.4,10.1,337.3
2020-11-13 17:00:00,Armel TRIPON,,38.1955555555556,-18.6722222222222,214,9.67,4.8,18.1,7.9,4.7,14.7
2020-11-13 21:00:00,Armel TRIPON,,38.0961111111111,-18.8094444444444,227,4.07,1.75,18.4,13.0,9.0,170.6
2020-11-14 04:00:00,Armel TRIPON,,37.7088888888889,-19.5936111111111,238,11.59,4.21,19.0,9.4,7.6,145.2
2020-11-14 08:00:00,Armel TRIPON,,37.65,-19.4572222222222,119,3.43,0.63,19.0,15.5,8.3,179.5
2020-11-14 11:00:00,Armel TRIPON,,37.4975,-19.4883333333333,189,5.72,3.09,19.5,12.2,6.5,306.8
2020-11-14 14:00:00,Armel TRIPON,,37.3136111111111,-19.7205555555556,225,9.67,4.22,19.2,20.5,13.7,344.0
2020-11-14 17:00:00,Armel TRIPON,,37.0369444444444,-20.1194444444444,229,15.61,6.44,19.2,19.1,13.7,357.4
2020-11-14 21:00:00,Armel TRIPON,,36.6302777777778,-20.3405555555556,203,12.33,6.42,19.2,19.4,9.4,339.7
2020-11-15 04:00:00,Armel TRIPON,,36.3230555555556,-19.7536111111111,123,8.95,2.08,19.4,29.2,19.8,357.0
2020-11-15 08:00:00,Armel TRIPON,,35.7933333333333,-19.6363888888889,170,14.96,7.64,19.6,27.7,20.9,40.7
2020-11-15 11:00:00,Armel TRIPON,,35.1,-19.3816666666667,163,26.82,13.05,19.7,37.1,26.3,33.4
2020-11-15 14:00:00,Armel TRIPON,,34.2358333333333,-19.2583333333333,173,32.26,16.71,20.6,49.3,35.3,33.8
2020-11-15 17:00:00,Armel TRIPON,,33.3297222222222,-19.0758333333333,171,34.04,17.32,21.8,43.6,36.0,31.7
2020-11-15 21:00:00,Armel TRIPON,,32.3322222222222,-19.2791666666667,190,28.13,15.19,21.6,39.2,30.2,5.9
2020-11-16 04:00:00,Armel TRIPON,,30.8177777777778,-19.0619444444444,173,24.24,12.48,21.6,28.8,22.7,260.6
2020-11-16 08:00:00,Armel TRIPON,,30.0336111111111,-19.3269444444444,196,22.71,12.22,21.8,17.3,10.8,257.1
2020-11-16 11:00:00,Armel TRIPON,,29.6622222222222,-19.4297222222222,193,14.17,7.64,21.6,12.2,5.8,199.7
2020-11-16 14:00:00,Armel TRIPON,,29.5513888888889,-19.3741666666667,156,4.48,1.99,21.1,12.6,6.5,179.3
2020-11-16 17:00:00,Armel TRIPON,,29.4713888888889,-19.2972222222222,140,3.87,1.31,21.3,7.2,1.8,352.1
2020-11-16 21:00:00,Armel TRIPON,,29.3366666666667,-19.2747222222222,172,3.78,1.92,21.6,17.6,10.8,78.0
2020-11-17 04:00:00,Armel TRIPON,,28.2686111111111,-19.7541666666667,201,18.22,9.7,22.5,17.6,14.0,49.4
2020-11-17 08:00:00,Armel TRIPON,,27.6483333333333,-19.6858333333333,174,17.32,8.97,23.3,20.5,14.4,64.0
2020-11-17 11:00:00,Armel TRIPON,,27.3455555555556,-19.8622222222222,207,12.63,6.56,24.1,19.1,13.3,78.7
2020-11-17 14:00:00,Armel TRIPON,,26.8786111111111,-20.0625,201,18.52,9.85,24.1,15.5,10.8,58.3
2020-11-17 17:00:00,Armel TRIPON,,26.7291666666667,-20.3625,241,11.37,3.95,23.8,17.6,13.0,51.1
2020-11-17 21:00:00,Armel TRIPON,,26.6413888888889,-21.18,263,20.45,3.28,23.5,31.3,24.1,42.3
2020-11-18 04:00:00,Armel TRIPON,,26.7127777777778,-23.1027777777778,272,27.32,1.67,22.4,39.2,31.0,38.8
2020-11-18 08:00:00,Armel TRIPON,,26.4602777777778,-23.9497222222222,251,22.21,4.65,22.7,47.2,36.0,40.2
2020-11-18 11:00:00,Armel TRIPON,,26.1127777777778,-24.4847222222222,234,21.95,7.36,23.1,49.3,37.8,44.7
2020-11-18 14:00:00,Armel TRIPON,,25.9308333333333,-25.2930555555556,256,27.76,3.99,23.0,51.1,38.9,50.0
2020-11-18 17:00:00,Armel TRIPON,,25.1027777777778,-25.4997222222222,193,31.47,16.53,23.6,52.9,40.0,50.2
2020-11-18 21:00:00,Armel TRIPON,,23.95,-25.7886111111111,193,32.87,17.22,24.0,52.2,41.4,49.8
2020-11-19 04:00:00,Armel TRIPON,,22.2677777777778,-26.555,203,28.97,14.23,24.4,54.0,42.5,56.0
2020-11-19 08:00:00,Armel TRIPON,,21.2880555555556,-26.9855555555556,202,29.41,14.25,24.6,52.9,40.7,50.1
2020-11-19 11:00:00,Armel TRIPON,,20.5569444444444,-27.255,199,28.65,14.09,24.9,51.1,41.0,52.6
2020-11-19 14:00:00,Armel TRIPON,,19.7447222222222,-27.4658333333333,194,30.98,15.9,25.0,46.4,37.1,54.4
2020-11-19 17:00:00,Armel TRIPON,,18.9347222222222,-27.7108333333333,196,31.22,15.77,25.2,47.2,36.0,53.3
2020-11-19 21:00:00,Armel TRIPON,,17.8975,-28.01,195,29.89,15.13,25.3,46.1,34.6,51.2
2020-11-20 04:00:00,Armel TRIPON,,16.1544444444444,-28.4225,193,28.39,14.65,25.4,39.2,32.0,45.8
2020-11-20 08:00:00,Armel TRIPON,,15.3616666666667,-28.5452777777778,188,22.28,11.7,25.9,41.0,30.6,42.1
2020-11-20 11:00:00,Armel TRIPON,,14.7408333333333,-28.5791666666667,183,23.04,12.31,26.2,40.0,29.2,45.5
2020-11-20 14:00:00,Armel TRIPON,,14.5722222222222,-29.1905555555556,254,22.8,2.28,26.5,36.0,26.3,48.1
2020-11-20 17:00:00,Armel TRIPON,,13.9619444444444,-29.2791666666667,188,22.84,11.96,26.6,29.2,20.5,54.6
2020-11-20 21:00:00,Armel TRIPON,,13.2563888888889,-29.2994444444444,182,19.61,10.46,26.9,22.7,16.2,52.9
2020-11-21 04:00:00,Armel TRIPON,,12.1577777777778,-29.2136111111111,176,17.5,9.42,26.9,20.5,15.8,23.4
2020-11-21 08:00:00,Armel TRIPON,,11.7597222222222,-29.2277777777778,182,11.07,5.85,27.0,22.7,18.4,36.3
2020-11-21 11:00:00,Armel TRIPON,,11.3683333333333,-29.1719444444444,172,14.65,7.9,27.2,27.4,18.7,40.0
2020-11-21 14:00:00,Armel TRIPON,,10.9311111111111,-29.1116666666667,172,16.35,8.82,26.9,27.0,19.4,50.7
2020-11-21 17:00:00,Armel TRIPON,,10.4844444444444,-29.0772222222222,176,16.61,8.92,27.3,23.0,16.9,54.9
2020-11-21 21:00:00,Armel TRIPON,,9.74166666666667,-29.1497222222222,185,20.74,10.78,27.5,23.8,19.1,66.2
