date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Arnaud BOISSIÈRES,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 21:00:00,Arnaud BOISSIÈRES,,46.4072222222222,-4.28638888888889,354,0.0,0.0,15.9,27.4,20.9,186.6
2020-11-09 04:00:00,Arnaud BOISSIÈRES,,46.2958333333333,-6.04166666666667,264,19.33,8.52,15.1,47.5,37.1,214.1
2020-11-09 08:00:00,Arnaud BOISSIÈRES,,46.4436111111111,-6.93194444444444,283,20.08,4.3,14.6,32.4,26.3,237.9
2020-11-09 11:00:00,Arnaud BOISSIÈRES,,46.6861111111111,-7.54833333333333,300,18.09,-0.91,17.4,30.6,14.8,300.0
2020-11-09 14:00:00,Arnaud BOISSIÈRES,,46.5572222222222,-7.86722222222222,239,9.43,4.11,14.9,30.6,22.3,260.8
2020-11-09 17:00:00,Arnaud BOISSIÈRES,,46.1172222222222,-8.05583333333333,196,17.0,9.12,17.7,27.4,9.4,360.0
2020-11-09 21:00:00,Arnaud BOISSIÈRES,,45.5130555555556,-8.53833333333333,209,17.09,9.18,14.8,25.9,19.8,279.2
2020-11-10 04:00:00,Arnaud BOISSIÈRES,,44.6958333333333,-8.65055555555556,185,13.04,6.73,15.0,16.2,15.5,230.5
2020-11-10 08:00:00,Arnaud BOISSIÈRES,,44.3483333333333,-8.89027777777778,206,10.76,5.8,15.3,24.8,19.8,209.9
2020-11-10 11:00:00,Arnaud BOISSIÈRES,,44.0702777777778,-8.62222222222222,145,12.52,4.59,17.7,26.6,9.4,130.0
2020-11-10 14:00:00,Arnaud BOISSIÈRES,,43.8580555555556,-9.05277777777778,235,13.93,6.33,17.4,22.7,3.6,290.0
2020-11-10 17:00:00,Arnaud BOISSIÈRES,,43.7183333333333,-9.65805555555556,252,20.41,7.13,15.8,37.1,29.2,188.4
2020-11-10 21:00:00,Arnaud BOISSIÈRES,,43.36,-10.7572222222222,245,21.58,8.42,16.4,45.0,32.0,188.8
2020-11-11 04:00:00,Arnaud BOISSIÈRES,,42.9511111111111,-12.4661111111111,251,20.84,7.09,17.1,56.9,43.2,187.8
2020-11-11 08:00:00,Arnaud BOISSIÈRES,,42.7088888888889,-13.4619444444444,251,21.39,6.91,17.0,77.0,56.2,207.6
2020-11-11 11:00:00,Arnaud BOISSIÈRES,,42.5202777777778,-14.0672222222222,247,17.93,6.21,15.4,44.3,33.5,335.3
2020-11-11 14:00:00,Arnaud BOISSIÈRES,,42.0911111111111,-14.5802777777778,221,21.24,10.36,15.7,31.7,23.4,348.3
2020-11-11 17:00:00,Arnaud BOISSIÈRES,,41.7855555555556,-15.1661111111111,235,19.72,8.23,15.5,30.2,16.2,22.6
2020-11-11 21:00:00,Arnaud BOISSIÈRES,,41.5794444444444,-15.8080555555556,247,14.5,4.83,15.6,22.3,14.0,72.4
2020-11-12 04:00:00,Arnaud BOISSIÈRES,,40.8030555555556,-16.7116666666667,221,16.39,7.87,18.0,22.0,14.4,131.9
2020-11-12 08:00:00,Arnaud BOISSIÈRES,,40.48,-17.5866666666667,244,20.52,6.94,18.2,33.1,26.6,178.5
2020-11-12 11:00:00,Arnaud BOISSIÈRES,,40.1852777777778,-18.3877777777778,244,25.13,8.23,18.4,52.2,33.8,162.9
