date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Benjamin DUTREUX,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Benjamin DUTREUX,,46.4244444444444,-1.8125,357,0.0,0.0,18.4,27.2,15.1,141
2020-11-08 15:00:00,Benjamin DUTREUX,,46.3544444444444,-2.33527777777778,259,26.93,13.84,16.5,35.6,19.1,142.0
2020-11-08 17:00:00,Benjamin DUTREUX,,46.3216666666667,-2.99027777777778,266,33.61,16.27,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Benjamin DUTREUX,,46.2888888888889,-4.38916666666667,268,26.87,12.46,16.6,27.7,22.0,198.2
2020-11-09 04:00:00,Benjamin DUTREUX,,46.1586111111111,-6.24416666666667,264,20.48,9.15,15.0,48.6,37.4,217.2
2020-11-09 08:00:00,Benjamin DUTREUX,,46.2236111111111,-7.09722222222222,276,18.87,5.1,14.7,33.1,25.9,240.0
2020-11-09 11:00:00,Benjamin DUTREUX,,46.0433333333333,-7.50388888888889,237,12.41,5.78,17.4,31.3,14.8,300.0
2020-11-09 14:00:00,Benjamin DUTREUX,,45.5347222222222,-7.70666666666667,195,19.56,10.46,15.0,31.3,24.5,255.5
2020-11-09 17:00:00,Benjamin DUTREUX,,45.0672222222222,-8.10388888888889,211,20.19,10.85,15.3,30.2,22.7,278.0
2020-11-09 21:00:00,Benjamin DUTREUX,,44.3780555555556,-8.69472222222222,211,19.93,10.66,15.2,23.8,19.1,269.1
2020-11-10 04:00:00,Benjamin DUTREUX,,43.5505555555556,-8.92527777777778,191,13.41,7.19,12.5,16.9,4.1,174
2020-11-10 08:00:00,Benjamin DUTREUX,,43.2113888888889,-9.25277777777778,215,11.52,6.08,11.4,16.6,8.4,160
2020-11-10 11:00:00,Benjamin DUTREUX,,42.8280555555556,-9.68388888888889,219,18.39,9.51,14.8,27.0,22.7,162.1
2020-11-10 14:00:00,Benjamin DUTREUX,,42.4225,-10.2397222222222,225,21.34,10.6,16.0,24.8,22.7,179.0
2020-11-10 17:00:00,Benjamin DUTREUX,,42.1402777777778,-10.8213888888889,237,22.89,10.1,16.3,29.5,24.5,183.1
2020-11-10 21:00:00,Benjamin DUTREUX,,41.7208333333333,-11.8452777777778,241,21.48,8.87,17.3,40.0,31.0,185.5
2020-11-11 04:00:00,Benjamin DUTREUX,,41.3538888888889,-13.6788888888889,254,22.56,6.97,17.8,55.8,43.9,191.5
2020-11-11 08:00:00,Benjamin DUTREUX,,41.1161111111111,-14.7388888888889,253,23.13,6.95,18.2,60.8,45.4,200.4
2020-11-11 11:00:00,Benjamin DUTREUX,,41.0505555555556,-15.45,263,20.02,4.15,16.6,36.4,18.4,309.0
2020-11-11 14:00:00,Benjamin DUTREUX,,40.8041666666667,-16.1622222222222,245,21.93,7.49,16.1,39.2,27.0,19.9
2020-11-11 17:00:00,Benjamin DUTREUX,,40.6222222222222,-16.9491666666667,253,23.11,6.36,16.2,37.8,25.6,50.3
2020-11-11 21:00:00,Benjamin DUTREUX,,40.0313888888889,-17.43,212,19.33,9.84,17.7,36.0,26.3,87.0
2020-11-12 04:00:00,Benjamin DUTREUX,,39.1988888888889,-19.0972222222222,237,24.32,9.31,18.6,43.2,38.2,152.6
2020-11-12 08:00:00,Benjamin DUTREUX,,38.7258333333333,-20.2080555555556,241,27.37,9.17,19.1,29.5,22.0,196.7
