date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Clarisse CREMER,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Clarisse CREMER,,46.4297222222222,-1.81722222222222,357,0.0,0.0,18.3,27.3,15.1,141
2020-11-08 15:00:00,Clarisse CREMER,,46.3180555555556,-2.35722222222222,253,28.84,15.21,16.6,35.4,18.8,142.0
2020-11-08 17:00:00,Clarisse CREMER,,46.2605555555556,-3.03305555555556,263,34.87,17.31,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Clarisse CREMER,,46.1869444444444,-4.40611111111111,265,26.48,12.63,16.6,27.7,22.0,198.2
2020-11-09 04:00:00,Clarisse CREMER,,46.2838888888889,-6.49583333333333,273,23.02,9.1,14.9,48.6,37.1,219.7
2020-11-09 08:00:00,Clarisse CREMER,,46.3838888888889,-7.41555555555556,279,20.43,3.08,14.9,33.1,25.9,242.3
2020-11-09 11:00:00,Clarisse CREMER,,46.4816666666667,-8.0025,283,15.43,1.48,17.4,32.0,14.8,300.0
2020-11-09 14:00:00,Clarisse CREMER,,46.0555555555556,-8.25972222222222,203,17.11,9.24,15.0,31.0,23.4,263.4
2020-11-09 17:00:00,Clarisse CREMER,,45.6230555555556,-8.68388888888889,214,19.41,10.27,15.0,28.8,22.0,289.0
2020-11-09 21:00:00,Clarisse CREMER,,44.9980555555556,-9.34861111111111,217,19.28,10.09,15.0,22.3,19.4,270.6
2020-11-10 04:00:00,Clarisse CREMER,,44.2986111111111,-9.91388888888889,210,12.82,6.85,15.1,23.4,20.9,223.6
2020-11-10 08:00:00,Clarisse CREMER,,44.3366666666667,-10.7177777777778,273,16.02,2.62,15.9,30.6,24.1,215.9
2020-11-10 11:00:00,Clarisse CREMER,,44.2555555555556,-11.3655555555556,260,17.45,4.73,16.2,36.4,28.4,209.4
2020-11-10 14:00:00,Clarisse CREMER,,44.0366666666667,-12.0827777777778,247,20.72,7.55,16.2,42.1,32.4,199.6
2020-11-10 17:00:00,Clarisse CREMER,,43.8877777777778,-12.7786111111111,253,23.24,7.21,16.7,50.4,38.2,199.0
2020-11-10 21:00:00,Clarisse CREMER,,43.6063888888889,-14.005,252,22.96,7.18,17.0,56.9,42.1,192.2
2020-11-11 04:00:00,Clarisse CREMER,,43.0805555555556,-15.9986111111111,249,24.5,7.84,17.4,83.2,59.0,205.7
2020-11-11 08:00:00,Clarisse CREMER,,42.5558333333333,-16.7302777777778,225,20.85,9.52,15.0,47.5,33.5,326.7
2020-11-11 11:00:00,Clarisse CREMER,,42.0858333333333,-17.1858333333333,215,21.43,10.63,15.1,32.8,20.9,334.0
2020-11-11 14:00:00,Clarisse CREMER,,41.6905555555556,-17.6372222222222,220,19.22,9.11,15.4,23.4,13.7,345.9
2020-11-11 17:00:00,Clarisse CREMER,,41.4313888888889,-18.0575,230,15.09,6.3,15.6,18.7,9.0,43.8
2020-11-11 21:00:00,Clarisse CREMER,,40.9383333333333,-18.0683333333333,181,13.7,7.3,15.9,25.2,16.6,85.8
2020-11-12 04:00:00,Clarisse CREMER,,39.8411111111111,-19.42,223,23.89,10.92,19.0,28.4,33.1,147.1
2020-11-12 08:00:00,Clarisse CREMER,,39.5016666666667,-20.4194444444444,246,23.37,6.84,19.0,26.6,17.3,158.3
2020-11-12 11:00:00,Clarisse CREMER,,39.3275,-20.6827777777778,229,9.93,3.97,17.7,49.7,47.2,344.0
2020-11-12 14:00:00,Clarisse CREMER,,38.6208333333333,-21.1558333333333,207,29.52,14.93,17.2,46.4,35.3,342.9
2020-11-12 17:00:00,Clarisse CREMER,,38.0463888888889,-21.7369444444444,218,27.19,12.43,17.3,36.0,27.7,358.8
2020-11-12 21:00:00,Clarisse CREMER,,37.5586111111111,-22.6597222222222,236,24.39,8.35,17.3,23.8,20.5,43.3
2020-11-13 04:00:00,Clarisse CREMER,,37.3286111111111,-24.1455555555556,259,19.09,2.72,17.4,25.6,17.6,64.3
2020-11-13 08:00:00,Clarisse CREMER,,36.4755555555556,-24.4675,197,24.76,12.9,18.7,34.2,27.4,57.5
2020-11-13 11:00:00,Clarisse CREMER,,35.7825,-24.7297222222222,197,26.87,13.94,19.8,48.6,33.8,44.4
2020-11-13 14:00:00,Clarisse CREMER,,35.2975,-25.2375,220,23.61,9.79,20.3,52.2,39.2,34.9
2020-11-13 17:00:00,Clarisse CREMER,,34.895,-26.0461111111111,238,28.71,8.01,19.6,55.1,39.6,13.9
2020-11-13 21:00:00,Clarisse CREMER,,34.1675,-26.8758333333333,223,27.74,10.63,19.8,55.1,41.0,359.8
2020-11-14 04:00:00,Clarisse CREMER,,32.7325,-27.8966666666667,210,26.5,11.9,21.2,43.9,33.8,347.8
2020-11-14 08:00:00,Clarisse CREMER,,32.0416666666667,-28.3466666666667,209,21.91,9.8,21.3,41.8,27.0,350.2
2020-11-14 11:00:00,Clarisse CREMER,,31.5741666666667,-27.9588888888889,145,21.21,10.03,21.5,34.9,24.1,347.2
2020-11-14 14:00:00,Clarisse CREMER,,31.1266666666667,-27.6722222222222,151,18.91,9.4,21.9,32.4,23.8,342.2
2020-11-14 17:00:00,Clarisse CREMER,,30.5444444444444,-27.9741666666667,204,23.63,11.15,22.0,31.0,23.4,347.6
2020-11-14 21:00:00,Clarisse CREMER,,29.8427777777778,-28.3077777777778,202,21.08,10.04,22.1,27.4,19.8,10.1
2020-11-15 04:00:00,Clarisse CREMER,,28.9369444444444,-28.1141666666667,170,14.63,7.89,21.9,19.8,15.5,18.8
2020-11-15 08:00:00,Clarisse CREMER,,28.3205555555556,-27.6255555555556,145,20.87,9.92,22.5,18.7,10.8,31.4
2020-11-15 11:00:00,Clarisse CREMER,,27.7808333333333,-27.3927777777778,159,21.41,11.15,22.8,18.4,10.8,48.9
2020-11-15 14:00:00,Clarisse CREMER,,27.4638888888889,-27.3711111111111,177,11.78,6.35,23.1,17.6,11.2,51.2
