date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Clément GIRAUD,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Clément GIRAUD,,46.4147222222222,-1.81527777777778,357,0.0,0.0,18.4,27.4,15.1,142
2020-11-08 15:00:00,Clément GIRAUD,,46.2880555555556,-2.225,246,22.96,12.36,17.8,31.9,17.2,150
2020-11-08 17:00:00,Clément GIRAUD,,46.1663888888889,-2.69388888888889,249,25.69,13.7,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Clément GIRAUD,,45.8497222222222,-3.76777777777778,247,22.52,12.07,16.5,24.8,17.6,184.1
2020-11-09 04:00:00,Clément GIRAUD,,45.8602777777778,-4.82194444444444,270,11.67,5.27,16.2,32.8,26.6,224.3
2020-11-09 08:00:00,Clément GIRAUD,,45.8841666666667,-5.57083333333333,272,16.59,6.71,14.9,45.0,33.8,225.6
2020-11-09 11:00:00,Clément GIRAUD,,45.9511111111111,-6.28166666666667,277,18.48,6.07,15.2,34.2,22.3,232.0
2020-11-09 14:00:00,Clément GIRAUD,,46.1163888888889,-6.92694444444444,290,17.71,2.88,15.1,31.0,19.8,237.1
2020-11-09 17:00:00,Clément GIRAUD,,45.6486111111111,-7.14805555555556,198,18.24,9.66,15.0,29.9,23.4,269.1
2020-11-09 21:00:00,Clément GIRAUD,,45.0252777777778,-7.78388888888889,215,18.95,10.21,15.2,28.1,20.5,273.8
2020-11-10 04:00:00,Clément GIRAUD,,44.2125,-8.20638888888889,200,13.76,7.34,14.8,14.8,13.7,230.3
2020-11-10 08:00:00,Clément GIRAUD,,43.8219444444444,-8.56638888888889,213,13.02,7.03,13.6,25.2,7.2,155
2020-11-10 11:00:00,Clément GIRAUD,,43.6819444444444,-9.24555555555555,254,18.91,6.46,17.7,25.9,9.4,130.0
2020-11-10 14:00:00,Clément GIRAUD,,43.5497222222222,-9.98055555555556,256,20.32,6.52,15.8,32.8,27.7,192.3
2020-11-10 17:00:00,Clément GIRAUD,,43.3630555555556,-10.5272222222222,245,19.5,7.66,16.2,36.4,29.5,194.3
2020-11-10 21:00:00,Clément GIRAUD,,43.0311111111111,-11.5280555555556,245,19.8,7.62,16.7,46.1,33.5,191.4
2020-11-11 04:00:00,Clément GIRAUD,,42.655,-13.1094444444444,251,19.37,6.41,17.2,55.4,45.7,188.9
2020-11-11 08:00:00,Clément GIRAUD,,42.1741666666667,-12.5561111111111,140,17.54,5.1,17.3,63.4,47.2,198.8
