date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Damien SEGUIN,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Damien SEGUIN,,46.4141666666667,-1.81694444444444,357,0.0,0.0,18.4,27.4,15.1,142
2020-11-08 15:00:00,Damien SEGUIN,,46.2941666666667,-2.36416666666667,252,28.74,15.22,16.7,35.2,18.6,143.0
2020-11-08 17:00:00,Damien SEGUIN,,46.1966666666667,-3.03833333333333,258,35.32,18.11,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Damien SEGUIN,,46.0519444444444,-4.36722222222222,261,25.91,12.88,16.6,25.9,19.8,193.2
2020-11-09 04:00:00,Damien SEGUIN,,45.8858333333333,-6.09333333333333,261,19.24,9.02,15.2,48.2,36.7,215.7
2020-11-09 08:00:00,Damien SEGUIN,,45.8922222222222,-6.98555555555556,270,19.74,6.85,14.6,34.2,26.3,241.4
2020-11-09 11:00:00,Damien SEGUIN,,45.7147222222222,-7.45,241,13.69,6.38,15.3,32.4,20.9,242.0
2020-11-09 14:00:00,Damien SEGUIN,,45.3025,-7.59777777777778,194,18.91,9.95,15.1,32.4,24.1,254.3
2020-11-09 17:00:00,Damien SEGUIN,,44.7363888888889,-7.99027777777778,206,20.02,10.8,15.4,31.3,23.0,277.2
2020-11-09 21:00:00,Damien SEGUIN,,44.0969444444444,-8.49333333333333,209,18.13,9.79,15.2,19.8,13.7,257.8
2020-11-10 04:00:00,Damien SEGUIN,,43.4605555555556,-8.75611111111111,197,10.56,5.56,12.2,17.6,4.4,170
2020-11-10 08:00:00,Damien SEGUIN,,43.1966666666667,-9.24,233,12.22,5.72,11.3,16.6,8.3,160
2020-11-10 11:00:00,Damien SEGUIN,,42.8005555555556,-9.69,220,19.09,9.85,14.8,27.0,22.7,162.1
2020-11-10 14:00:00,Damien SEGUIN,,42.6677777777778,-10.5336111111111,258,23.48,7.16,16.1,28.4,24.5,189.2
2020-11-10 17:00:00,Damien SEGUIN,,42.4736111111111,-11.2172222222222,249,24.0,8.7,16.6,32.4,27.4,185.9
2020-11-10 21:00:00,Damien SEGUIN,,42.1952777777778,-12.5044444444444,253,24.5,7.9,16.9,42.8,31.3,190.0
2020-11-11 04:00:00,Damien SEGUIN,,41.9766666666667,-14.2736111111111,260,21.15,5.41,17.6,64.8,49.0,187.9
2020-11-11 08:00:00,Damien SEGUIN,,41.9575,-15.4116666666667,268,23.52,3.82,17.5,56.9,34.9,319.3
2020-11-11 11:00:00,Damien SEGUIN,,41.5469444444444,-16.0769444444444,230,23.87,10.43,15.5,38.9,25.6,349.1
2020-11-11 14:00:00,Damien SEGUIN,,41.195,-16.6827777777778,232,21.32,8.97,15.6,31.7,21.2,5.0
2020-11-11 17:00:00,Damien SEGUIN,,40.9019444444444,-17.3566666666667,240,21.74,7.97,15.7,32.0,19.8,49.1
2020-11-11 21:00:00,Damien SEGUIN,,40.5847222222222,-17.9977777777778,237,16.13,6.15,16.2,32.4,23.0,78.9
2020-11-12 04:00:00,Damien SEGUIN,,39.7986111111111,-19.7497222222222,239,24.65,8.85,19.0,27.7,33.1,142.5
2020-11-12 08:00:00,Damien SEGUIN,,39.4458333333333,-20.5580555555556,240,19.89,6.61,19.0,26.6,17.3,158.3
2020-11-12 11:00:00,Damien SEGUIN,,39.2883333333333,-20.8225,232,9.57,3.63,17.7,49.7,47.2,344.0
2020-11-12 14:00:00,Damien SEGUIN,,38.5841666666667,-21.5197222222222,217,32.95,15.28,17.2,43.9,33.8,344.9
2020-11-12 17:00:00,Damien SEGUIN,,38.0113888888889,-22.0538888888889,216,26.32,12.25,17.2,34.2,26.3,1.8
2020-11-12 21:00:00,Damien SEGUIN,,37.5011111111111,-22.8075,229,21.8,8.41,17.3,23.8,20.5,43.3
2020-11-13 04:00:00,Damien SEGUIN,,36.5577777777778,-23.9711111111111,224,21.04,8.62,18.2,37.8,26.3,69.9
2020-11-13 08:00:00,Damien SEGUIN,,35.7519444444444,-24.4205555555556,204,24.58,12.27,19.4,51.8,39.6,57.7
2020-11-13 11:00:00,Damien SEGUIN,,35.005,-24.7927777777778,202,29.89,15.06,20.9,46.8,34.9,63.4
2020-11-13 14:00:00,Damien SEGUIN,,34.2530555555556,-24.9891666666667,192,28.5,15.07,21.0,59.0,43.9,37.4
2020-11-13 17:00:00,Damien SEGUIN,,33.5544444444444,-25.3691666666667,204,28.41,13.99,21.4,68.4,49.0,19.0
2020-11-13 21:00:00,Damien SEGUIN,,32.5919444444444,-26.1422222222222,214,32.26,14.37,20.8,65.9,47.9,350.4
2020-11-14 04:00:00,Damien SEGUIN,,30.7836111111111,-26.7136111111111,195,29.74,15.36,21.0,51.5,38.5,345.5
2020-11-14 08:00:00,Damien SEGUIN,,29.7975,-27.1427777777778,200,29.28,14.46,21.4,41.4,29.2,351.4
2020-11-14 11:00:00,Damien SEGUIN,,29.2,-27.5255555555556,209,25.35,11.43,21.8,36.7,24.8,353.6
2020-11-14 14:00:00,Damien SEGUIN,,28.5955555555556,-27.9277777777778,210,25.93,11.43,22.1,31.0,23.8,3.5
2020-11-14 17:00:00,Damien SEGUIN,,28.1058333333333,-28.2347222222222,209,20.72,9.18,22.3,32.4,23.4,15.6
2020-11-14 21:00:00,Damien SEGUIN,,27.3372222222222,-27.83,155,23.58,12.1,22.2,26.6,17.6,34.2
2020-11-15 04:00:00,Damien SEGUIN,,26.1363888888889,-27.4566666666667,165,19.8,10.55,22.1,27.4,19.8,36.0
2020-11-15 08:00:00,Damien SEGUIN,,25.4547222222222,-27.2844444444444,167,19.43,10.41,22.1,30.2,20.2,45.7
2020-11-15 11:00:00,Damien SEGUIN,,25.0494444444444,-27.3108333333333,183,15.04,8.03,22.8,24.8,18.0,59.8
2020-11-15 14:00:00,Damien SEGUIN,,24.5558333333333,-27.3094444444444,180,18.3,9.84,23.6,22.0,16.9,66.8
2020-11-15 17:00:00,Damien SEGUIN,,23.9302777777778,-27.5361111111111,198,24.43,12.07,23.9,27.0,20.2,65.1
2020-11-15 21:00:00,Damien SEGUIN,,22.9669444444444,-27.6063888888889,184,26.84,14.27,24.2,32.4,22.7,72.0
2020-11-16 04:00:00,Damien SEGUIN,,20.9522222222222,-27.8461111111111,186,32.21,16.95,23.8,33.1,25.6,58.9
2020-11-16 08:00:00,Damien SEGUIN,,19.7741666666667,-27.8288888888889,179,32.74,17.55,24.2,41.8,31.7,53.7
2020-11-16 11:00:00,Damien SEGUIN,,18.9225,-27.87,183,31.6,16.75,24.7,43.6,32.4,57.4
2020-11-16 14:00:00,Damien SEGUIN,,17.9808333333333,-27.9633333333333,185,35.06,18.34,25.2,36.4,29.5,63.7
2020-11-16 17:00:00,Damien SEGUIN,,17.0688888888889,-28.0902777777778,188,34.1,17.63,25.5,36.4,27.4,55.0
2020-11-16 21:00:00,Damien SEGUIN,,15.9025,-28.1041666666667,181,32.43,17.24,25.8,34.2,27.7,53.4
2020-11-17 04:00:00,Damien SEGUIN,,14.0372222222222,-28.1586111111111,182,29.63,15.7,25.9,29.5,23.0,60.0
