date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Didac COSTA,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Didac COSTA,,46.4263888888889,-1.81416666666667,357,0.0,0.0,18.4,27.2,15.1,141
2020-11-08 15:00:00,Didac COSTA,,46.3466666666667,-2.31472222222222,257,26.26,13.64,16.5,35.5,18.9,142.0
2020-11-08 17:00:00,Didac COSTA,,46.2922222222222,-2.88972222222222,262,29.71,14.82,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Didac COSTA,,46.2394444444444,-4.16027777777778,266,24.46,11.59,16.3,27.0,20.5,190.0
2020-11-09 04:00:00,Didac COSTA,,46.1361111111111,-5.76333333333333,264,17.71,8.03,15.2,45.7,36.4,210.8
2020-11-09 08:00:00,Didac COSTA,,46.1572222222222,-6.53388888888889,272,16.96,5.73,14.6,34.9,26.6,237.1
2020-11-09 11:00:00,Didac COSTA,,46.2077777777778,-7.11527777777778,277,15.04,3.6,15.3,32.0,21.2,245.1
2020-11-09 14:00:00,Didac COSTA,,45.7947222222222,-7.25444444444444,193,15.72,8.25,15.0,31.7,20.9,241.4
2020-11-09 17:00:00,Didac COSTA,,45.3161111111111,-7.47944444444444,198,18.67,9.92,15.2,30.6,24.5,270.3
2020-11-09 21:00:00,Didac COSTA,,44.63,-7.90944444444444,204,18.54,9.94,15.3,27.7,20.5,271.2
2020-11-10 04:00:00,Didac COSTA,,43.8038888888889,-8.38222222222222,202,14.19,7.52,12.7,22.0,8.3,226
2020-11-10 08:00:00,Didac COSTA,,43.5488888888889,-8.91805555555555,236,12.91,6.78,12.6,18.7,9.9,166
2020-11-10 11:00:00,Didac COSTA,,43.3063888888889,-9.22305555555556,222,12.17,6.19,14.1,21.6,10.1,150
2020-11-10 14:00:00,Didac COSTA,,43.0230555555556,-9.65,228,15.59,7.62,15.4,27.4,25.6,175.5
2020-11-10 17:00:00,Didac COSTA,,42.7888888888889,-9.42833333333333,145,12.69,3.77,17.4,22.0,3.6,180.0
2020-11-10 21:00:00,Didac COSTA,,42.4122222222222,-10.1936111111111,236,16.74,7.52,16.0,33.1,26.3,183.1
2020-11-11 04:00:00,Didac COSTA,,41.8808333333333,-11.6147222222222,243,18.74,7.6,17.0,43.6,34.9,204.8
2020-11-11 08:00:00,Didac COSTA,,41.6791666666667,-12.4975,253,19.15,6.21,17.5,59.4,43.9,196.9
