date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Giancarlo PEDOTE,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Giancarlo PEDOTE,,46.4255555555556,-1.81833333333333,357,0.0,0.0,18.4,27.3,15.1,141
2020-11-08 15:00:00,Giancarlo PEDOTE,,46.3127777777778,-2.37388888888889,253,29.63,15.62,16.6,35.4,18.8,142.0
2020-11-08 17:00:00,Giancarlo PEDOTE,,46.2230555555556,-3.09305555555556,260,37.45,19.0,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Giancarlo PEDOTE,,46.0797222222222,-4.37694444444444,260,25.04,12.42,16.8,26.6,21.2,198.8
2020-11-09 04:00:00,Giancarlo PEDOTE,,46.1258333333333,-6.37611111111111,271,22.04,9.14,14.9,48.6,37.1,219.7
2020-11-09 08:00:00,Giancarlo PEDOTE,,46.2980555555556,-7.31527777777778,284,21.35,4.05,14.7,32.8,25.9,241.4
2020-11-09 11:00:00,Giancarlo PEDOTE,,46.2805555555556,-7.80083333333333,267,12.45,3.05,17.4,30.2,14.8,300.0
2020-11-09 14:00:00,Giancarlo PEDOTE,,46.3330555555556,-8.30472222222222,278,13.06,1.8,14.9,29.9,23.8,266.3
2020-11-09 17:00:00,Giancarlo PEDOTE,,45.9083333333333,-8.66555555555556,210,18.28,9.77,14.7,28.4,22.0,289.6
2020-11-09 21:00:00,Giancarlo PEDOTE,,45.3294444444444,-9.32944444444444,219,18.33,9.5,14.9,23.4,20.2,273.3
2020-11-10 04:00:00,Giancarlo PEDOTE,,44.6113888888889,-9.85861111111111,207,12.87,6.91,15.2,22.0,20.5,218.2
2020-11-10 08:00:00,Giancarlo PEDOTE,,44.7630555555556,-10.8308333333333,282,19.67,1.67,15.9,32.0,24.1,217.8
2020-11-10 11:00:00,Giancarlo PEDOTE,,44.7122222222222,-11.5588888888889,264,19.26,4.5,16.2,40.3,30.2,202.8
2020-11-10 14:00:00,Giancarlo PEDOTE,,44.5227777777778,-12.2763888888889,249,20.19,6.91,16.3,47.2,36.0,195.2
2020-11-10 17:00:00,Giancarlo PEDOTE,,44.365,-12.9019444444444,250,21.08,6.93,16.7,50.8,37.8,195.1
2020-11-10 21:00:00,Giancarlo PEDOTE,,43.9786111111111,-13.9938888888889,243,21.58,8.05,16.7,57.2,41.8,192.0
2020-11-11 04:00:00,Giancarlo PEDOTE,,43.3833333333333,-15.7863888888889,245,22.65,8.02,17.0,79.6,60.8,201.5
2020-11-11 08:00:00,Giancarlo PEDOTE,,42.7375,-16.4688888888889,217,22.69,11.17,14.8,48.6,34.9,322.2
2020-11-11 11:00:00,Giancarlo PEDOTE,,42.1141666666667,-16.8777777777778,206,25.67,13.49,15.1,33.8,22.3,334.9
2020-11-11 14:00:00,Giancarlo PEDOTE,,41.6463888888889,-17.3938888888889,219,22.45,10.78,15.3,24.5,15.1,346.3
2020-11-11 17:00:00,Giancarlo PEDOTE,,41.4211111111111,-17.67,222,11.33,5.24,15.5,20.5,10.4,43.9
2020-11-11 21:00:00,Giancarlo PEDOTE,,41.0352777777778,-17.9013888888889,204,11.76,6.19,15.9,25.2,16.6,85.8
2020-11-12 04:00:00,Giancarlo PEDOTE,,40.0458333333333,-19.2947222222222,226,23.02,10.09,18.8,21.2,25.9,149.2
2020-11-12 08:00:00,Giancarlo PEDOTE,,39.7283333333333,-20.2780555555556,247,22.76,6.5,18.9,35.3,24.1,154.1
2020-11-12 11:00:00,Giancarlo PEDOTE,,39.6177777777778,-20.4855555555556,235,7.19,2.6,18.4,27.0,30.6,340.1
2020-11-12 14:00:00,Giancarlo PEDOTE,,38.9611111111111,-21.005,211,28.54,14.05,17.1,53.3,37.8,346.7
2020-11-12 17:00:00,Giancarlo PEDOTE,,38.4541666666667,-21.6975,227,27.47,11.31,17.0,39.2,28.8,353.6
2020-11-12 21:00:00,Giancarlo PEDOTE,,37.9169444444444,-22.5730555555556,232,24.26,9.03,17.0,22.0,16.9,37.5
2020-11-13 04:00:00,Giancarlo PEDOTE,,37.4305555555556,-23.6044444444444,239,15.09,4.68,17.2,21.6,14.4,69.9
2020-11-13 08:00:00,Giancarlo PEDOTE,,36.7177777777778,-23.8119444444444,193,20.35,10.79,18.6,29.2,24.5,67.2
2020-11-13 11:00:00,Giancarlo PEDOTE,,35.9977777777778,-24.0997222222222,198,28.04,14.57,19.8,42.1,30.2,66.5
2020-11-13 14:00:00,Giancarlo PEDOTE,,35.3494444444444,-24.3408333333333,197,25.09,13.08,20.7,39.6,29.5,68.5
2020-11-13 17:00:00,Giancarlo PEDOTE,,34.56,-24.4013888888889,184,29.34,15.82,20.9,48.2,37.1,35.2
2020-11-13 21:00:00,Giancarlo PEDOTE,,34.0447222222222,-25.3608333333333,237,26.28,8.01,20.7,59.8,44.3,8.3
2020-11-14 04:00:00,Giancarlo PEDOTE,,32.3236111111111,-26.8133333333333,215,33.47,14.71,20.5,55.4,40.0,351.4
2020-11-14 08:00:00,Giancarlo PEDOTE,,31.5452777777778,-26.6272222222222,169,22.08,11.81,20.9,46.1,31.3,354.0
2020-11-14 11:00:00,Giancarlo PEDOTE,,30.9416666666667,-27.1555555555556,217,27.95,11.6,21.5,37.1,27.4,348.3
2020-11-14 14:00:00,Giancarlo PEDOTE,,30.4952777777778,-27.5158333333333,215,20.13,8.47,21.7,36.0,25.9,347.5
