date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Isabelle JOSCHKE,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Isabelle JOSCHKE,,46.4163888888889,-1.80361111111111,358,0.0,0.0,18.4,27.2,15.1,142
2020-11-08 15:00:00,Isabelle JOSCHKE,,46.33,-2.38833333333333,258,29.28,15.15,15.7,37.1,20.5,140.0
2020-11-08 17:00:00,Isabelle JOSCHKE,,46.3211111111111,-3.17027777777778,269,40.04,18.83,15.1,35.3,22.3,150
2020-11-08 21:00:00,Isabelle JOSCHKE,,46.2680555555556,-4.63361111111111,266,28.13,13.08,16.7,29.5,23.4,199.9
2020-11-09 04:00:00,Isabelle JOSCHKE,,46.3436111111111,-6.6125,272,21.74,8.37,14.9,48.6,37.1,219.7
2020-11-09 08:00:00,Isabelle JOSCHKE,,46.5083333333333,-7.61888888888889,283,22.65,2.48,14.9,33.5,25.9,249.0
2020-11-09 11:00:00,Isabelle JOSCHKE,,46.5172222222222,-8.06638888888889,272,11.41,2.29,17.4,32.0,14.8,300.0
2020-11-09 14:00:00,Isabelle JOSCHKE,,46.0805555555556,-8.30694444444445,201,17.32,9.35,15.0,31.0,23.4,263.4
2020-11-09 17:00:00,Isabelle JOSCHKE,,45.6566666666667,-8.70916666666667,213,18.83,9.99,14.8,28.4,22.0,289.8
2020-11-09 21:00:00,Isabelle JOSCHKE,,45.05,-9.38805555555555,218,19.08,9.91,15.0,22.3,20.2,270.3
2020-11-10 04:00:00,Isabelle JOSCHKE,,44.3611111111111,-9.76944444444445,201,11.76,6.35,15.0,21.2,20.2,219.8
2020-11-10 08:00:00,Isabelle JOSCHKE,,44.0625,-10.0769444444444,216,10.32,5.38,15.6,25.6,19.8,211.3
2020-11-10 11:00:00,Isabelle JOSCHKE,,43.8533333333333,-10.4741666666667,234,13.13,5.97,15.8,33.5,26.6,197.7
2020-11-10 14:00:00,Isabelle JOSCHKE,,43.6038888888889,-10.7238888888889,216,11.41,5.94,16.2,35.3,28.8,205.9
2020-11-10 17:00:00,Isabelle JOSCHKE,,43.4027777777778,-11.2783333333333,243,20.0,7.9,16.6,42.1,31.7,197.6
2020-11-10 21:00:00,Isabelle JOSCHKE,,43.1188888888889,-12.5311111111111,252,23.61,7.72,17.0,51.8,35.3,193.3
2020-11-11 04:00:00,Isabelle JOSCHKE,,42.3577777777778,-12.4797222222222,177,12.11,6.11,17.2,52.6,42.5,196.4
