date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Jérémie BEYOU,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Jérémie BEYOU,,46.415,-1.83333333333333,357,0.0,0.0,18.3,27.6,15.2,142
2020-11-08 15:00:00,Jérémie BEYOU,,46.3452777777778,-2.59166666666667,262,39.13,19.68,15.7,37.1,20.5,140.0
2020-11-08 17:00:00,Jérémie BEYOU,,46.3291666666667,-3.45027777777778,268,43.97,20.6,15.8,32.8,25.6,161.5
2020-11-08 21:00:00,Jérémie BEYOU,,46.2125,-5.07055555555556,263,31.3,14.77,16.6,31.3,23.8,199.1
2020-11-09 04:00:00,Jérémie BEYOU,,46.4111111111111,-7.30333333333333,277,24.71,4.59,14.7,43.2,29.5,229.0
2020-11-09 08:00:00,Jérémie BEYOU,,46.8127777777778,-8.34888888888889,299,26.15,-1.25,14.7,36.4,27.4,256.0
2020-11-09 11:00:00,Jérémie BEYOU,,46.5402777777778,-8.70944444444444,222,13.65,6.93,14.9,31.3,23.0,256.3
2020-11-09 14:00:00,Jérémie BEYOU,,46.0916666666667,-8.91472222222222,197,17.45,9.39,14.8,31.3,24.5,278.4
2020-11-09 17:00:00,Jérémie BEYOU,,45.59,-9.27333333333333,206,20.76,11.18,14.9,31.0,23.0,292.9
2020-11-09 21:00:00,Jérémie BEYOU,,44.6422222222222,-9.91916666666667,205,25.98,14.0,15.2,22.3,19.8,267.2
2020-11-10 04:00:00,Jérémie BEYOU,,43.6083333333333,-9.85583333333333,178,16.45,8.14,15.4,19.1,13.7,220.9
2020-11-10 08:00:00,Jérémie BEYOU,,43.4786111111111,-10.5230555555556,255,13.93,4.49,15.7,26.3,20.9,198.9
2020-11-10 11:00:00,Jérémie BEYOU,,43.3969444444444,-11.2119444444444,260,18.78,5.09,16.2,34.6,27.4,205.5
2020-11-10 14:00:00,Jérémie BEYOU,,43.4094444444444,-12.3680555555556,270,31.13,5.53,16.3,40.7,31.3,199.7
2020-11-10 17:00:00,Jérémie BEYOU,,43.415,-13.1877777777778,270,26.48,4.37,17.0,49.7,37.4,197.0
2020-11-10 21:00:00,Jérémie BEYOU,,43.3252777777778,-13.8330555555556,259,11.8,2.99,17.1,55.1,40.7,192.0
2020-11-11 04:00:00,Jérémie BEYOU,,42.9772222222222,-16.0636111111111,257,26.43,6.9,17.4,83.2,59.0,205.7
2020-11-11 08:00:00,Jérémie BEYOU,,42.5241666666667,-16.5377777777778,217,15.87,7.81,15.0,48.2,33.5,326.9
2020-11-11 11:00:00,Jérémie BEYOU,,42.5305555555556,-16.0475,89,13.39,-1.66,14.9,35.6,25.2,323.9
2020-11-11 14:00:00,Jérémie BEYOU,,42.8791666666667,-15.6025,43,17.72,-8.27,14.9,30.2,22.3,304.8
2020-11-11 17:00:00,Jérémie BEYOU,,43.2647222222222,-15.2913888888889,31,16.58,-8.57,14.8,23.4,15.5,298.4
2020-11-11 21:00:00,Jérémie BEYOU,,43.7227777777778,-14.7944444444444,38,16.21,-7.97,14.5,16.9,13.7,247.8
2020-11-12 04:00:00,Jérémie BEYOU,,44.1291666666667,-14.0711111111111,52,10.5,-4.48,14.9,31.0,26.3,227.2
2020-11-12 08:00:00,Jérémie BEYOU,,44.0402777777778,-13.1688888888889,98,18.19,-1.26,14.8,33.5,25.2,199.4
2020-11-12 11:00:00,Jérémie BEYOU,,44.1722222222222,-12.4722222222222,75,19.17,-5.38,15.3,37.1,28.4,209.1
2020-11-12 14:00:00,Jérémie BEYOU,,44.3488888888889,-11.6988888888889,73,21.56,-6.69,16.7,34.6,23.8,204.2
2020-11-12 17:00:00,Jérémie BEYOU,,44.5347222222222,-10.9708333333333,71,20.46,-6.82,16.2,47.9,28.4,217.0
2020-11-12 21:00:00,Jérémie BEYOU,,44.7019444444445,-9.89444444444444,78,21.8,-6.16,16.8,58.3,45.0,223.2
2020-11-13 04:00:00,Jérémie BEYOU,,45.0158333333333,-7.78416666666667,79,24.28,-6.97,15.8,51.5,35.3,234.7
2020-11-13 08:00:00,Jérémie BEYOU,,45.0333333333333,-6.73,89,20.72,-4.66,16.0,42.1,29.9,239.7
2020-11-13 11:00:00,Jérémie BEYOU,,45.3375,-6.48944444444444,29,12.91,-6.95,15.8,34.9,25.2,228.4
2020-11-13 14:00:00,Jérémie BEYOU,,45.6233333333333,-6.10777777777778,43,14.52,-7.45,15.7,32.8,24.1,220.2
2020-11-13 17:00:00,Jérémie BEYOU,,45.6644444444444,-5.32694444444444,86,20.3,-5.41,15.7,31.3,23.0,210.1
2020-11-13 21:00:00,Jérémie BEYOU,,45.8125,-4.33333333333333,78,19.71,-6.59,16.1,30.6,24.8,176.5
2020-11-14 04:00:00,Jérémie BEYOU,,46.2497222222222,-2.81277777777778,68,18.15,-7.44,14.6,31.7,18.4,170
2020-11-14 08:00:00,Jérémie BEYOU,,46.3230555555556,-2.04472222222222,82,14.89,-4.9,12.3,35.1,21.4,161
2020-11-14 11:00:00,Jérémie BEYOU,,46.4133333333333,-1.87,53,5.57,-2.8,14.3,41.9,26.0,162
2020-11-14 14:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,32,3.85,-2.08,16.3,40.0,25.8,188
2020-11-14 17:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,270,0.0,0.0,15.4,33.4,20.2,179
2020-11-14 21:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,43,0.0,0.0,14.5,37.5,17.9,194
2020-11-15 04:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,215,0.0,0.0,14.6,37.6,24.1,178
2020-11-15 08:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,270,0.0,0.0,14.8,59.6,32.2,178
2020-11-15 11:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,161,0.0,0.0,14.5,64.9,33.4,224
2020-11-15 14:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,270,0.0,0.0,13.8,54.5,30.6,256
2020-11-15 17:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,341,0.0,0.0,13.8,52.0,25.6,261
2020-11-15 21:00:00,Jérémie BEYOU,,46.5019444444444,-1.79083333333333,360,0.0,0.0,13.1,52.6,27.8,257
2020-11-16 04:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,0,0.0,0.0,11.9,38.5,21.5,274.0
2020-11-16 08:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,180,0.0,0.0,11.8,29.5,13.4,278.0
2020-11-16 11:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,341,0.0,0.0,14.2,24.8,13.2,262.0
2020-11-16 14:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,64,0.0,0.0,14.8,32.4,18.3,281.0
2020-11-16 17:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,193,0.0,0.0,13.8,22.4,11.2,270.0
2020-11-16 21:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,306,0.0,0.0,12.0,14.4,3.6,249.5
2020-11-17 04:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,0,0.0,0.0,11.3,19.6,10.1,186
2020-11-17 08:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,0,0.0,0.0,10.2,20.9,11.8,162
2020-11-17 11:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,54,0.0,0.0,13.2,21.4,13.5,163
2020-11-17 14:00:00,Jérémie BEYOU,,46.5016666666667,-1.79083333333333,161,0.0,0.0,15.4,30.9,17.8,159
2020-11-17 17:00:00,Jérémie BEYOU,,46.4327777777778,-1.83027777777778,202,2.74,1.46,14.5,23.5,11.2,127
2020-11-17 21:00:00,Jérémie BEYOU,,45.965,-2.71833333333333,232,21.46,10.84,15.5,34.9,27.0,126.6
2020-11-18 04:00:00,Jérémie BEYOU,,45.5088888888889,-4.49722222222222,249,21.0,8.75,16.2,22.3,16.6,191.0
2020-11-18 08:00:00,Jérémie BEYOU,,45.485,-5.49222222222222,268,19.41,9.0,17.0,43.9,33.1,238.5
2020-11-18 11:00:00,Jérémie BEYOU,,45.6327777777778,-6.2225,286,19.72,6.02,16.4,45.0,31.7,231.6
2020-11-18 14:00:00,Jérémie BEYOU,,45.6897222222222,-7.03722222222222,275,21.21,6.8,16.1,50.8,28.4,263.9
2020-11-18 17:00:00,Jérémie BEYOU,,45.3197222222222,-7.68555555555556,231,21.72,11.13,14.0,50.4,34.9,350.1
2020-11-18 21:00:00,Jérémie BEYOU,,44.6411111111111,-8.94388888888889,232,31.11,14.75,13.3,46.4,32.4,8.1
2020-11-19 04:00:00,Jérémie BEYOU,,44.2147222222222,-11.5344444444444,256,30.15,9.61,13.8,43.6,31.0,46.9
2020-11-19 08:00:00,Jérémie BEYOU,,44.1897222222222,-12.9936111111111,268,29.09,5.59,13.9,42.1,29.2,54.7
2020-11-19 11:00:00,Jérémie BEYOU,,43.8127777777778,-13.5247222222222,225,19.89,9.46,14.3,42.8,30.6,55.9
2020-11-19 14:00:00,Jérémie BEYOU,,42.9641666666667,-13.7447222222222,191,32.0,17.19,14.8,44.6,33.5,57.1
2020-11-19 17:00:00,Jérémie BEYOU,,42.1252777777778,-14.0094444444444,193,31.93,17.21,15.2,47.9,39.2,60.9
2020-11-19 21:00:00,Jérémie BEYOU,,40.9744444444444,-14.47,197,33.39,18.03,16.0,53.3,40.3,51.4
