date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Kevin ESCOFFIER,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Kevin ESCOFFIER,,46.4191666666667,-1.82027777777778,357,0.0,0.0,18.4,27.4,15.1,141
2020-11-08 15:00:00,Kevin ESCOFFIER,,46.3508333333333,-2.44305555555556,261,32.61,16.57,15.7,37.1,20.5,140.0
2020-11-08 17:00:00,Kevin ESCOFFIER,,46.3577777777778,-3.21805555555556,270,39.65,18.24,15.1,35.3,22.3,150
2020-11-08 21:00:00,Kevin ESCOFFIER,,46.3166666666667,-4.76555555555556,267,29.72,13.62,16.7,29.5,23.4,199.9
2020-11-09 04:00:00,Kevin ESCOFFIER,,46.5902777777778,-7.17,279,26.67,4.57,14.7,43.2,29.5,229.0
2020-11-09 08:00:00,Kevin ESCOFFIER,,46.8888888888889,-8.16722222222222,293,23.69,0.14,14.4,36.4,27.7,254.0
2020-11-09 11:00:00,Kevin ESCOFFIER,,46.6097222222222,-8.5275,221,13.82,7.06,17.4,31.7,14.8,300.0
2020-11-09 14:00:00,Kevin ESCOFFIER,,46.1491666666667,-8.73666666666667,197,17.89,9.63,14.7,30.6,23.4,275.3
2020-11-09 17:00:00,Kevin ESCOFFIER,,45.6330555555556,-9.1,206,21.3,11.48,14.8,29.5,22.3,292.2
2020-11-09 21:00:00,Kevin ESCOFFIER,,44.6458333333333,-9.46972222222222,195,25.22,13.52,15.2,22.3,19.8,266.6
2020-11-10 04:00:00,Kevin ESCOFFIER,,43.8172222222222,-9.81166666666667,196,13.72,7.38,15.4,20.9,16.2,223.9
2020-11-10 08:00:00,Kevin ESCOFFIER,,43.5547222222222,-10.3044444444444,233,12.3,5.63,15.7,24.1,19.1,197.0
2020-11-10 11:00:00,Kevin ESCOFFIER,,43.5455555555556,-11.1088888888889,269,21.61,4.38,16.1,33.8,27.0,202.3
2020-11-10 14:00:00,Kevin ESCOFFIER,,43.4822222222222,-12.2125,265,29.74,6.7,16.3,40.7,31.3,199.7
2020-11-10 17:00:00,Kevin ESCOFFIER,,43.4086111111111,-13.1322222222222,263,29.89,6.78,17.0,49.7,37.4,197.0
2020-11-10 21:00:00,Kevin ESCOFFIER,,43.2197222222222,-14.5855555555556,259,26.54,6.65,17.2,58.0,42.8,192.7
2020-11-11 04:00:00,Kevin ESCOFFIER,,42.8713888888889,-16.7275,257,25.47,6.52,17.5,83.9,51.5,235.3
2020-11-11 08:00:00,Kevin ESCOFFIER,,42.3875,-17.1383333333333,212,15.87,8.06,14.9,48.2,34.2,328.2
2020-11-11 11:00:00,Kevin ESCOFFIER,,41.7263888888889,-17.585,206,27.41,14.3,15.3,33.1,21.2,340.8
2020-11-11 14:00:00,Kevin ESCOFFIER,,41.275,-18.1319444444444,222,22.59,10.46,15.5,27.4,16.9,12.1
2020-11-11 17:00:00,Kevin ESCOFFIER,,41.0102777777778,-18.4913888888889,226,14.04,6.19,15.7,25.2,15.8,55.0
2020-11-11 21:00:00,Kevin ESCOFFIER,,40.2052777777778,-18.8097222222222,197,23.37,12.53,16.6,34.6,27.0,80.8
2020-11-12 04:00:00,Kevin ESCOFFIER,,39.9019444444444,-20.7488888888889,258,24.06,4.81,17.4,37.8,27.4,56.7
2020-11-12 08:00:00,Kevin ESCOFFIER,,39.4725,-22.1936111111111,248,33.13,8.45,16.2,49.7,36.7,352.8
2020-11-12 11:00:00,Kevin ESCOFFIER,,38.8477777777778,-22.9338888888889,222,31.45,13.39,16.9,37.1,24.1,351.8
2020-11-12 14:00:00,Kevin ESCOFFIER,,38.3066666666667,-23.4875,218,25.67,11.33,16.9,28.8,20.9,1.4
2020-11-12 17:00:00,Kevin ESCOFFIER,,37.8811111111111,-24.0994444444444,228,23.82,8.95,17.1,26.6,19.1,25.3
2020-11-12 21:00:00,Kevin ESCOFFIER,,37.6172222222222,-24.8841666666667,247,18.74,4.24,15.5,,17.3,45
2020-11-13 04:00:00,Kevin ESCOFFIER,,36.1008333333333,-25.6930555555556,203,26.19,13.05,18.8,50.8,36.0,53.4
2020-11-13 08:00:00,Kevin ESCOFFIER,,35.0091666666667,-26.0188888888889,194,31.22,16.31,20.0,63.7,45.4,32.3
2020-11-13 11:00:00,Kevin ESCOFFIER,,34.1744444444444,-26.0213888888889,180,30.95,16.7,20.6,63.4,48.6,27.6
2020-11-13 14:00:00,Kevin ESCOFFIER,,33.4961111111111,-26.1794444444444,191,25.61,13.49,21.0,69.1,50.4,12.0
2020-11-13 17:00:00,Kevin ESCOFFIER,,32.9236111111111,-26.7327777777778,219,27.28,11.13,20.7,69.5,51.1,349.7
2020-11-13 21:00:00,Kevin ESCOFFIER,,31.9594444444444,-27.3030555555556,206,29.97,14.07,20.7,58.0,43.2,346.4
2020-11-14 04:00:00,Kevin ESCOFFIER,,30.1672222222222,-28.6944444444444,213,34.19,14.62,21.4,42.8,30.6,3.0
2020-11-14 08:00:00,Kevin ESCOFFIER,,29.4397222222222,-29.4586111111111,222,27.37,9.6,22.2,34.2,21.6,5.5
2020-11-14 11:00:00,Kevin ESCOFFIER,,28.945,-29.4894444444444,183,18.37,9.69,22.6,30.6,20.5,11.0
2020-11-14 14:00:00,Kevin ESCOFFIER,,28.4205555555556,-29.1677777777778,152,22.08,11.27,22.7,28.1,21.6,14.4
2020-11-14 17:00:00,Kevin ESCOFFIER,,27.9105555555556,-28.7816666666667,146,22.72,11.13,22.6,31.7,22.7,18.4
2020-11-14 21:00:00,Kevin ESCOFFIER,,27.2783333333333,-28.7791666666667,180,17.58,9.4,22.4,25.9,16.9,44.3
2020-11-15 04:00:00,Kevin ESCOFFIER,,26.0616666666667,-28.2019444444444,157,21.0,10.97,22.2,28.4,19.8,45.5
2020-11-15 08:00:00,Kevin ESCOFFIER,,25.2697222222222,-27.9361111111111,163,23.0,12.25,22.3,32.4,22.0,44.3
2020-11-15 11:00:00,Kevin ESCOFFIER,,24.5011111111111,-27.7966666666667,171,28.87,15.57,23.5,22.7,16.9,60.9
2020-11-15 14:00:00,Kevin ESCOFFIER,,23.7597222222222,-27.8066666666667,181,27.48,14.72,24.0,25.2,19.1,72.1
2020-11-15 17:00:00,Kevin ESCOFFIER,,22.9652777777778,-27.8202777777778,181,29.45,15.76,24.2,29.9,22.7,63.3
2020-11-15 21:00:00,Kevin ESCOFFIER,,21.7872222222222,-27.8086111111111,179,32.74,17.56,24.3,37.8,27.4,69.4
2020-11-16 04:00:00,Kevin ESCOFFIER,,19.5613888888889,-27.8680555555556,181,35.37,18.87,24.2,37.4,29.5,54.7
2020-11-16 08:00:00,Kevin ESCOFFIER,,18.2544444444444,-28.0058333333333,186,36.52,19.08,24.8,39.6,29.9,57.2
2020-11-16 11:00:00,Kevin ESCOFFIER,,17.2838888888889,-28.1522222222222,188,36.34,18.73,25.4,37.1,28.8,57.6
2020-11-16 14:00:00,Kevin ESCOFFIER,,16.3341666666667,-28.3355555555556,190,35.8,18.17,25.9,32.8,26.3,54.7
2020-11-16 17:00:00,Kevin ESCOFFIER,,15.3916666666667,-28.4169444444444,185,35.04,18.31,26.1,34.2,25.9,50.1
2020-11-16 21:00:00,Kevin ESCOFFIER,,14.4011111111111,-28.3572222222222,177,27.58,14.79,26.1,33.5,27.0,50.3
2020-11-17 04:00:00,Kevin ESCOFFIER,,12.4452777777778,-28.5236111111111,185,31.17,16.26,26.4,29.9,22.0,59.0
2020-11-17 08:00:00,Kevin ESCOFFIER,,11.4913888888889,-28.6977777777778,190,26.95,13.59,26.8,32.8,24.8,61.9
2020-11-17 11:00:00,Kevin ESCOFFIER,,10.6030555555556,-28.6925,180,32.93,17.46,27.2,31.7,23.8,64.4
2020-11-17 14:00:00,Kevin ESCOFFIER,,9.62722222222222,-28.6947222222222,180,36.17,19.13,27.5,30.2,22.7,57.2
2020-11-17 17:00:00,Kevin ESCOFFIER,,8.71,-28.6766666666667,179,34.0,18.06,27.7,31.7,24.5,66.9
2020-11-17 21:00:00,Kevin ESCOFFIER,,7.50777777777778,-28.6369444444444,178,33.43,17.78,27.7,37.4,24.1,67.3
2020-11-18 04:00:00,Kevin ESCOFFIER,,6.00722222222222,-28.6572222222222,181,23.84,12.55,26.2,36.0,17.6,76.6
2020-11-18 08:00:00,Kevin ESCOFFIER,,5.08333333333333,-28.6308333333333,178,25.69,13.62,25.4,34.9,26.3,78.2
2020-11-18 11:00:00,Kevin ESCOFFIER,,4.36888888888889,-28.6994444444444,185,26.61,13.65,26.3,33.8,25.6,76.8
2020-11-18 14:00:00,Kevin ESCOFFIER,,3.5925,-28.8141666666667,188,29.09,14.62,25.9,38.2,24.8,91.6
2020-11-18 17:00:00,Kevin ESCOFFIER,,2.87083333333333,-28.88,185,26.85,13.74,26.9,36.4,23.8,84.7
2020-11-18 21:00:00,Kevin ESCOFFIER,,1.97944444444444,-29.1222222222222,195,25.67,12.12,26.3,32.4,22.7,86.3
2020-11-19 04:00:00,Kevin ESCOFFIER,,-0.0427777777777778,-29.6988888888889,196,33.41,15.55,26.7,36.0,26.3,99.6
2020-11-19 08:00:00,Kevin ESCOFFIER,,-1.20777777777778,-29.8630555555556,188,32.71,16.09,26.8,36.7,28.8,99.1
2020-11-19 11:00:00,Kevin ESCOFFIER,,-2.16944444444444,-30.1827777777778,198,37.56,16.51,26.8,36.0,27.7,99.0
2020-11-19 14:00:00,Kevin ESCOFFIER,,-3.08111111111111,-30.5013888888889,199,35.78,16.52,27.2,34.9,27.0,100.0
2020-11-19 17:00:00,Kevin ESCOFFIER,,-3.99083333333333,-30.7483333333333,195,34.93,16.65,27.1,34.9,26.6,102.4
2020-11-19 21:00:00,Kevin ESCOFFIER,,-5.16,-31.0566666666667,195,33.61,15.96,26.6,34.2,25.9,100.9
2020-11-20 04:00:00,Kevin ESCOFFIER,,-7.27444444444444,-31.6286111111111,195,34.78,16.57,25.9,36.0,25.6,103.6
2020-11-20 08:00:00,Kevin ESCOFFIER,,-8.41472222222222,-31.9013888888889,193,32.58,15.48,26.1,40.0,29.9,84.7
2020-11-20 11:00:00,Kevin ESCOFFIER,,-9.42583333333333,-32.0386111111111,188,37.82,18.68,26.7,38.2,26.6,68.9
2020-11-20 14:00:00,Kevin ESCOFFIER,,-10.4683333333333,-32.0261111111111,179,38.63,20.01,26.6,34.2,24.1,66.8
2020-11-20 17:00:00,Kevin ESCOFFIER,,-11.4636111111111,-32.1036111111111,184,37.0,18.5,26.2,32.4,24.8,66.6
2020-11-20 21:00:00,Kevin ESCOFFIER,,-12.7263888888889,-32.0836111111111,179,35.11,17.69,26.2,32.0,25.9,65.5
2020-11-21 04:00:00,Kevin ESCOFFIER,,-14.9819444444444,-31.8588888888889,174,36.0,18.2,25.1,29.9,22.7,48.9
2020-11-21 08:00:00,Kevin ESCOFFIER,,-16.1083333333333,-31.5144444444444,164,32.65,17.12,24.9,34.9,27.0,55.1
2020-11-21 11:00:00,Kevin ESCOFFIER,,-17.1052777777778,-31.4594444444444,177,37.0,17.61,25.2,39.6,29.5,44.3
2020-11-21 14:00:00,Kevin ESCOFFIER,,-17.8786111111111,-31.4172222222222,177,28.71,13.36,25.2,36.0,25.9,32.8
2020-11-21 17:00:00,Kevin ESCOFFIER,,-18.76,-31.1666666666667,165,33.84,17.19,25.0,30.2,22.3,34.1
2020-11-21 21:00:00,Kevin ESCOFFIER,,-19.6855555555556,-30.7283333333333,156,28.19,14.89,25.0,24.5,19.1,40.0
2020-11-22 04:00:00,Kevin ESCOFFIER,,-21.21,-29.7347222222222,148,28.37,15.2,23.7,26.6,19.1,40.9
2020-11-22 08:00:00,Kevin ESCOFFIER,,-22.0508333333333,-29.1219444444444,146,28.24,15.17,24.0,31.0,22.0,32.1
2020-11-22 11:00:00,Kevin ESCOFFIER,,-22.6916666666667,-28.6416666666667,145,28.89,15.49,24.1,27.4,18.7,14.9
2020-11-22 14:00:00,Kevin ESCOFFIER,,-23.2075,-28.0488888888889,133,27.84,14.99,24.1,22.0,14.4,10.8
2020-11-22 17:00:00,Kevin ESCOFFIER,,-23.5183333333333,-27.5844444444444,126,19.56,10.37,24.0,15.5,10.1,23.2
2020-11-22 21:00:00,Kevin ESCOFFIER,,-23.9330555555556,-27.1233333333333,134,16.45,8.87,23.6,11.9,6.8,35.9
2020-11-23 04:00:00,Kevin ESCOFFIER,,-24.7930555555556,-26.2466666666667,137,18.65,10.06,22.8,24.1,14.4,38.4
2020-11-23 08:00:00,Kevin ESCOFFIER,,-25.4586111111111,-25.5630555555556,137,25.26,13.63,22.9,25.2,18.7,24.7
2020-11-23 11:00:00,Kevin ESCOFFIER,,-25.8505555555556,-25.1377777777778,136,24.39,13.16,23.1,20.5,13.7,21.3
2020-11-23 14:00:00,Kevin ESCOFFIER,,-26.2447222222222,-24.73,137,17.09,9.21,23.0,18.7,10.4,14.6
2020-11-23 17:00:00,Kevin ESCOFFIER,,-26.47,-24.3919444444444,127,14.0,7.51,22.9,14.0,9.4,18.1
2020-11-23 21:00:00,Kevin ESCOFFIER,,-26.7866666666667,-23.945,128,14.17,7.62,22.7,15.1,8.6,47.9
2020-11-24 04:00:00,Kevin ESCOFFIER,,-27.3086111111111,-22.8569444444444,118,17.48,9.09,21.9,21.2,10.8,24.0
2020-11-24 08:00:00,Kevin ESCOFFIER,,-27.7538888888889,-22.2408333333333,129,19.59,10.57,21.7,18.7,13.7,28.7
2020-11-24 11:00:00,Kevin ESCOFFIER,,-28.2047222222222,-21.9558333333333,151,19.15,9.51,21.5,19.4,15.5,7.3
2020-11-24 14:00:00,Kevin ESCOFFIER,,-28.6169444444444,-21.5602777777778,140,19.98,10.54,21.5,20.9,17.6,354.8
2020-11-24 17:00:00,Kevin ESCOFFIER,,-28.9816666666667,-21.6563888888889,193,13.87,3.05,21.4,18.4,13.3,333.6
2020-11-24 21:00:00,Kevin ESCOFFIER,,-29.4116666666667,-21.8733333333333,204,13.06,1.57,20.1,13.0,5.0,172.0
2020-11-25 04:00:00,Kevin ESCOFFIER,,-30.0233333333333,-21.9813888888889,189,9.83,2.46,19.1,20.9,10.1,142.0
2020-11-25 08:00:00,Kevin ESCOFFIER,,-30.3097222222222,-22.0286111111111,188,8.04,2.01,18.4,19.8,15.5,154.4
2020-11-25 11:00:00,Kevin ESCOFFIER,,-30.4527777777778,-21.6525,114,13.15,6.95,18.6,19.1,15.5,152.0
