date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Kojiro SHIRAISHI,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Kojiro SHIRAISHI,,46.4236111111111,-1.81666666666667,357,0.0,0.0,18.4,27.3,15.1,141
2020-11-08 15:00:00,Kojiro SHIRAISHI,,46.3422222222222,-2.39583333333333,258,30.56,15.76,15.7,37.1,20.5,140.0
2020-11-08 17:00:00,Kojiro SHIRAISHI,,46.3191666666667,-3.19611111111111,267,41.0,19.52,15.1,35.3,22.3,150
2020-11-08 21:00:00,Kojiro SHIRAISHI,,46.2494444444444,-4.66555555555556,266,28.3,13.26,16.7,29.5,23.4,199.9
2020-11-09 04:00:00,Kojiro SHIRAISHI,,46.3033333333333,-6.52333333333333,272,20.41,7.95,14.9,48.6,37.1,219.7
2020-11-09 08:00:00,Kojiro SHIRAISHI,,46.4019444444444,-7.40666666666667,279,19.63,2.91,14.9,33.1,25.9,242.3
2020-11-09 11:00:00,Kojiro SHIRAISHI,,46.5936111111111,-7.95944444444444,297,15.78,-0.43,17.4,32.0,14.8,300.0
2020-11-09 14:00:00,Kojiro SHIRAISHI,,46.7913888888889,-8.51916666666667,297,16.02,-0.63,14.8,32.0,23.8,273.4
2020-11-09 17:00:00,Kojiro SHIRAISHI,,46.3386111111111,-8.75194444444444,199,17.8,9.6,14.6,28.4,22.3,288.4
2020-11-09 21:00:00,Kojiro SHIRAISHI,,45.7563888888889,-9.36277777777778,216,17.8,9.33,14.8,26.3,21.6,272.9
2020-11-10 04:00:00,Kojiro SHIRAISHI,,44.9230555555555,-9.52027777777778,188,13.35,7.0,15.3,19.1,18.7,221.6
2020-11-10 08:00:00,Kojiro SHIRAISHI,,44.7905555555556,-10.0222222222222,249,10.56,3.82,15.7,30.2,23.0,221.1
2020-11-10 11:00:00,Kojiro SHIRAISHI,,44.7741666666667,-10.6866666666667,268,17.5,3.69,16.2,36.4,28.1,210.7
2020-11-10 14:00:00,Kojiro SHIRAISHI,,44.6891666666667,-11.5594444444444,262,23.19,5.88,16.1,43.2,32.8,201.1
2020-11-10 17:00:00,Kojiro SHIRAISHI,,44.5727777777778,-12.3261111111111,258,24.82,6.92,16.5,51.1,37.4,198.8
2020-11-10 21:00:00,Kojiro SHIRAISHI,,44.2802777777778,-13.6683333333333,253,24.76,7.71,16.6,54.4,41.4,191.5
2020-11-11 04:00:00,Kojiro SHIRAISHI,,43.8166666666667,-15.3488888888889,248,20.56,6.77,17.3,81.0,60.5,194.5
2020-11-11 08:00:00,Kojiro SHIRAISHI,,43.4997222222222,-15.4725,196,9.17,4.94,14.6,54.4,38.2,313.0
2020-11-11 11:00:00,Kojiro SHIRAISHI,,42.8111111111111,-15.6591666666667,191,26.02,14.04,14.9,37.1,25.6,317.5
2020-11-11 14:00:00,Kojiro SHIRAISHI,,42.2152777777778,-16.0877777777778,208,24.98,13.08,15.0,27.4,20.5,328.8
2020-11-11 17:00:00,Kojiro SHIRAISHI,,41.8994444444444,-16.4322222222222,219,15.08,7.33,15.2,20.5,9.4,12.1
2020-11-11 21:00:00,Kojiro SHIRAISHI,,41.7280555555556,-16.7527777777778,234,8.17,3.3,15.1,17.6,9.7,100.0
2020-11-12 04:00:00,Kojiro SHIRAISHI,,40.6841666666667,-17.5491666666667,210,19.11,9.86,17.8,22.7,16.6,118.6
2020-11-12 08:00:00,Kojiro SHIRAISHI,,40.3080555555556,-18.7913888888889,248,28.26,8.42,18.3,45.7,34.2,159.7
2020-11-12 11:00:00,Kojiro SHIRAISHI,,40.03,-19.6086111111111,246,25.34,7.61,18.9,34.9,17.6,153.8
2020-11-12 14:00:00,Kojiro SHIRAISHI,,39.8391666666667,-19.8052777777778,218,9.02,4.22,18.8,16.6,32.0,346.1
2020-11-12 17:00:00,Kojiro SHIRAISHI,,39.2638888888889,-20.5019444444444,223,29.17,12.94,17.3,50.4,35.6,351.5
2020-11-12 21:00:00,Kojiro SHIRAISHI,,38.6388888888889,-21.2691666666667,223,24.02,10.45,17.1,34.9,22.7,10.7
2020-11-13 04:00:00,Kojiro SHIRAISHI,,37.9336111111111,-21.9966666666667,219,14.41,6.54,17.2,20.9,12.6,60.8
2020-11-13 08:00:00,Kojiro SHIRAISHI,,37.3666666666667,-21.9488888888889,176,15.8,8.43,18.1,20.2,15.1,54.9
2020-11-13 11:00:00,Kojiro SHIRAISHI,,36.8888888888889,-22.1052777777778,195,18.3,9.75,18.9,22.7,16.6,90.3
2020-11-13 14:00:00,Kojiro SHIRAISHI,,36.4094444444444,-22.405,207,19.87,9.97,19.8,27.7,21.2,81.5
2020-11-13 17:00:00,Kojiro SHIRAISHI,,35.65,-22.5297222222222,188,28.39,15.31,20.5,28.1,21.2,80.8
2020-11-13 21:00:00,Kojiro SHIRAISHI,,34.6616666666667,-22.8013888888889,193,28.17,15.04,21.1,39.6,32.4,57.1
2020-11-14 04:00:00,Kojiro SHIRAISHI,,33.1536111111111,-23.0325,187,24.15,13.02,21.3,60.5,44.6,22.4
2020-11-14 08:00:00,Kojiro SHIRAISHI,,32.2944444444444,-22.7494444444444,165,24.78,12.65,21.6,67.0,51.1,359.0
2020-11-14 11:00:00,Kojiro SHIRAISHI,,31.6677777777778,-22.8547222222222,188,23.46,12.64,21.9,63.0,49.3,339.3
2020-11-14 14:00:00,Kojiro SHIRAISHI,,31.1888888888889,-22.9261111111111,187,17.89,9.65,21.6,64.4,50.4,331.6
2020-11-14 17:00:00,Kojiro SHIRAISHI,,30.7605555555556,-22.8033333333333,166,16.35,8.41,21.7,63.4,46.8,328.2
2020-11-14 21:00:00,Kojiro SHIRAISHI,,30.0741666666667,-22.7658333333333,177,19.11,10.24,21.5,53.6,39.6,329.9
2020-11-15 04:00:00,Kojiro SHIRAISHI,,29.0891666666667,-23.0305555555556,193,16.08,8.58,21.4,33.1,22.7,331.4
2020-11-15 08:00:00,Kojiro SHIRAISHI,,28.6994444444444,-23.1461111111111,195,11.2,5.95,21.6,27.4,16.9,329.7
2020-11-15 11:00:00,Kojiro SHIRAISHI,,28.61,-23.0052777777778,126,5.65,1.62,22.1,23.4,17.6,333.5
2020-11-15 14:00:00,Kojiro SHIRAISHI,,28.5938888888889,-22.7375,94,8.74,-0.02,22.5,24.8,18.7,347.5
2020-11-15 17:00:00,Kojiro SHIRAISHI,,28.3688888888889,-22.6141666666667,154,9.26,4.31,22.5,24.5,18.0,354.3
2020-11-15 21:00:00,Kojiro SHIRAISHI,,28.0913888888889,-22.4802777777778,157,8.39,4.0,22.4,21.2,12.2,19.9
2020-11-16 04:00:00,Kojiro SHIRAISHI,,27.8722222222222,-22.3991666666667,162,3.67,1.82,21.8,11.5,6.1,13.2
2020-11-16 08:00:00,Kojiro SHIRAISHI,,27.7833333333333,-22.2730555555556,129,3.96,1.16,21.6,8.6,4.7,70.8
2020-11-16 11:00:00,Kojiro SHIRAISHI,,27.7219444444444,-22.2375,153,2.56,1.16,22.1,8.3,5.4,106.1
2020-11-16 14:00:00,Kojiro SHIRAISHI,,27.695,-22.3088888888889,247,2.54,0.67,22.3,11.5,7.9,132.4
2020-11-16 17:00:00,Kojiro SHIRAISHI,,27.7019444444444,-22.3897222222222,276,2.67,0.01,22.3,11.5,6.1,137.3
2020-11-16 21:00:00,Kojiro SHIRAISHI,,27.5905555555556,-22.5213888888889,226,4.48,1.84,22.1,14.8,9.4,101.7
2020-11-17 04:00:00,Kojiro SHIRAISHI,,27.5316666666667,-22.6313888888889,239,1.81,0.58,21.8,13.7,9.0,52.2
2020-11-17 08:00:00,Kojiro SHIRAISHI,,27.5308333333333,-22.7111111111111,269,1.96,0.11,21.8,17.3,11.2,44.6
2020-11-17 11:00:00,Kojiro SHIRAISHI,,27.3836111111111,-22.6922222222222,174,5.48,2.91,22.0,22.0,14.4,47.5
2020-11-17 14:00:00,Kojiro SHIRAISHI,,27.2130555555556,-22.7463888888889,196,6.57,3.49,22.2,28.1,20.5,23.5
2020-11-17 17:00:00,Kojiro SHIRAISHI,,26.985,-22.8036111111111,193,8.67,4.64,22.3,33.5,25.9,27.0
2020-11-17 21:00:00,Kojiro SHIRAISHI,,26.5672222222222,-22.8586111111111,187,11.69,6.31,22.5,38.2,28.8,35.7
2020-11-18 04:00:00,Kojiro SHIRAISHI,,25.7736111111111,-23.0691666666667,193,12.96,6.92,23.1,38.5,29.9,40.3
2020-11-18 08:00:00,Kojiro SHIRAISHI,,25.3266666666667,-23.1769444444444,192,12.72,6.8,23.7,41.8,31.3,41.8
2020-11-18 11:00:00,Kojiro SHIRAISHI,,24.9766666666667,-23.2847222222222,196,13.46,7.13,24.0,40.0,31.0,41.7
2020-11-18 14:00:00,Kojiro SHIRAISHI,,24.6494444444444,-23.4002777777778,198,12.74,6.68,24.0,46.8,36.4,40.2
2020-11-18 17:00:00,Kojiro SHIRAISHI,,24.2622222222222,-23.4833333333333,191,14.63,7.83,24.1,49.7,37.4,43.3
2020-11-18 21:00:00,Kojiro SHIRAISHI,,23.6116666666667,-23.5466666666667,185,18.15,9.8,24.3,51.8,40.3,46.5
2020-11-19 04:00:00,Kojiro SHIRAISHI,,22.2941666666667,-23.6677777777778,185,21.0,11.34,24.3,46.1,36.7,48.4
2020-11-19 08:00:00,Kojiro SHIRAISHI,,21.6077777777778,-23.7013888888889,183,19.09,10.31,24.6,48.6,37.8,47.3
2020-11-19 11:00:00,Kojiro SHIRAISHI,,21.0872222222222,-23.7738888888889,187,19.46,10.48,24.9,49.7,38.5,50.4
2020-11-19 14:00:00,Kojiro SHIRAISHI,,20.6636111111111,-23.9141666666667,197,16.43,8.62,24.9,46.8,37.1,50.6
2020-11-19 17:00:00,Kojiro SHIRAISHI,,20.2266666666667,-24.0313888888889,194,16.69,8.85,25.0,45.4,34.6,52.5
2020-11-19 21:00:00,Kojiro SHIRAISHI,,19.6811111111111,-24.2163888888889,198,15.93,8.31,24.9,42.1,33.1,52.2
2020-11-20 04:00:00,Kojiro SHIRAISHI,,18.8452777777778,-24.4486111111111,195,13.72,7.24,24.9,42.8,34.9,45.1
2020-11-20 08:00:00,Kojiro SHIRAISHI,,18.3113888888889,-24.5416666666667,189,15.04,8.05,25.1,45.7,32.8,47.3
2020-11-20 11:00:00,Kojiro SHIRAISHI,,18.1002777777778,-24.8366666666667,233,13.0,4.37,25.4,39.2,29.5,50.3
2020-11-20 14:00:00,Kojiro SHIRAISHI,,18.0430555555556,-25.2505555555556,262,14.74,1.23,25.4,31.0,26.6,51.7
2020-11-20 17:00:00,Kojiro SHIRAISHI,,17.8691666666667,-25.5208333333333,236,11.5,3.36,25.5,33.5,24.8,53.3
2020-11-20 21:00:00,Kojiro SHIRAISHI,,17.3538888888889,-25.7683333333333,205,15.76,7.63,25.4,31.0,22.0,42.5
2020-11-21 04:00:00,Kojiro SHIRAISHI,,16.4475,-25.9016666666667,188,14.54,7.72,25.2,30.6,21.6,32.4
2020-11-21 08:00:00,Kojiro SHIRAISHI,,16.1758333333333,-26.35,238,14.15,3.72,25.5,25.6,18.4,45.0
2020-11-21 11:00:00,Kojiro SHIRAISHI,,16.0566666666667,-26.7616666666667,253,15.3,1.59,25.6,27.4,20.2,42.5
2020-11-21 14:00:00,Kojiro SHIRAISHI,,15.9861111111111,-27.1977777777778,260,15.76,0.45,25.5,27.4,17.6,46.1
2020-11-21 17:00:00,Kojiro SHIRAISHI,,15.9352777777778,-27.6116666666667,263,14.87,0.04,25.4,25.2,19.1,26.5
2020-11-21 21:00:00,Kojiro SHIRAISHI,,15.7694444444444,-28.1961111111111,254,16.3,1.37,25.6,28.1,19.8,41.9
2020-11-22 04:00:00,Kojiro SHIRAISHI,,15.5458333333333,-29.1588888888889,256,15.15,0.72,25.1,27.7,21.2,30.3
2020-11-22 08:00:00,Kojiro SHIRAISHI,,14.9061111111111,-29.1152777777778,176,17.82,9.57,25.4,27.0,17.6,38.7
2020-11-22 11:00:00,Kojiro SHIRAISHI,,14.4372222222222,-29.1313888888889,182,17.39,9.18,25.7,26.3,19.1,42.0
2020-11-22 14:00:00,Kojiro SHIRAISHI,,13.9938888888889,-29.1780555555556,186,16.52,8.57,26.0,23.4,17.6,34.5
2020-11-22 17:00:00,Kojiro SHIRAISHI,,13.5277777777778,-29.1111111111111,172,17.45,9.41,26.2,28.4,21.2,27.8
2020-11-22 21:00:00,Kojiro SHIRAISHI,,12.8341666666667,-29.0775,177,19.3,10.32,26.6,32.4,23.4,42.7
2020-11-23 04:00:00,Kojiro SHIRAISHI,,11.4283333333333,-28.8736111111111,172,22.56,12.16,26.6,37.8,25.2,50.7
2020-11-23 08:00:00,Kojiro SHIRAISHI,,10.6097222222222,-28.8405555555556,178,22.78,12.14,27.4,33.5,25.9,47.4
2020-11-23 11:00:00,Kojiro SHIRAISHI,,10.1258333333333,-28.9108333333333,188,21.74,11.06,27.7,31.3,25.2,61.5
2020-11-23 14:00:00,Kojiro SHIRAISHI,,9.39805555555555,-28.6630555555556,161,24.39,13.07,26.3,23.8,22.7,70.6
2020-11-23 17:00:00,Kojiro SHIRAISHI,,8.73722222222222,-28.6413888888889,178,24.5,13.04,25.8,30.6,20.9,85.1
2020-11-23 21:00:00,Kojiro SHIRAISHI,,8.30361111111111,-28.9011111111111,211,14.0,5.58,26.8,34.6,13.0,88.7
2020-11-24 04:00:00,Kojiro SHIRAISHI,,8.22944444444444,-29.1963888888889,256,4.8,0.09,25.6,22.7,11.2,113.9
2020-11-24 08:00:00,Kojiro SHIRAISHI,,8.07888888888889,-29.1486111111111,163,4.39,2.36,26.3,21.6,12.6,154.4
2020-11-24 11:00:00,Kojiro SHIRAISHI,,8.05444444444445,-29.1083333333333,122,1.74,0.66,26.6,21.2,9.0,179.1
2020-11-24 14:00:00,Kojiro SHIRAISHI,,8.01277777777778,-29.0391666666667,121,2.96,1.11,25.6,19.4,7.9,194.9
2020-11-24 17:00:00,Kojiro SHIRAISHI,,8.00472222222222,-28.9919444444444,100,1.76,0.36,25.7,26.3,18.4,228.4
2020-11-24 21:00:00,Kojiro SHIRAISHI,,7.76944444444444,-28.9344444444444,166,6.74,3.63,25.5,25.9,8.6,257.8
2020-11-25 04:00:00,Kojiro SHIRAISHI,,6.99166666666667,-28.8963888888889,177,12.37,6.58,25.2,19.8,10.4,358.5
2020-11-25 08:00:00,Kojiro SHIRAISHI,,6.98555555555556,-29.0986111111111,268,5.59,-0.56,25.3,17.3,4.3,289.5
2020-11-25 11:00:00,Kojiro SHIRAISHI,,6.75361111111111,-29.0408333333333,166,8.85,4.78,25.7,19.4,3.6,2.9
2020-11-25 14:00:00,Kojiro SHIRAISHI,,6.36805555555556,-28.9888888888889,172,14.41,7.75,26.0,10.1,7.6,73.9
