date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Manuel COUSIN,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Manuel COUSIN,,46.4191666666667,-1.81,358,0.0,0.0,18.4,27.2,15.1,142
2020-11-08 15:00:00,Manuel COUSIN,,46.3036111111111,-2.26194444444444,249,24.65,13.17,16.8,35.0,18.4,143.0
2020-11-08 17:00:00,Manuel COUSIN,,46.2055555555556,-2.825,256,29.76,15.49,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Manuel COUSIN,,46.0441666666667,-4.01583333333333,259,23.37,11.86,16.4,25.6,18.7,185.9
2020-11-09 04:00:00,Manuel COUSIN,,46.1077777777778,-5.6225,273,17.72,7.47,15.5,41.4,32.4,209.0
2020-11-09 08:00:00,Manuel COUSIN,,46.1016666666667,-6.45611111111111,269,18.37,6.77,14.6,36.0,27.0,238.0
2020-11-09 11:00:00,Manuel COUSIN,,46.1513888888889,-7.08555555555556,276,16.28,4.16,15.3,32.0,21.2,245.1
2020-11-09 14:00:00,Manuel COUSIN,,45.9044444444444,-7.42972222222222,224,12.74,6.6,15.0,31.3,19.4,245.9
2020-11-09 17:00:00,Manuel COUSIN,,45.4638888888889,-7.75388888888889,207,18.35,9.91,15.1,28.4,22.0,277.8
2020-11-09 21:00:00,Manuel COUSIN,,44.7411111111111,-8.30111111111111,208,20.26,10.92,15.2,26.6,20.2,272.1
2020-11-10 04:00:00,Manuel COUSIN,,43.9661111111111,-8.80527777777778,205,13.58,7.33,13.7,17.6,5.4,220.0
2020-11-10 08:00:00,Manuel COUSIN,,43.6258333333333,-8.87944444444445,189,9.57,5.05,13.6,22.3,7.2,155
2020-11-10 11:00:00,Manuel COUSIN,,43.3886111111111,-9.33416666666667,234,15.06,6.94,16.7,23.4,12.8,153
2020-11-10 14:00:00,Manuel COUSIN,,43.0713888888889,-9.43361111111111,193,12.06,6.43,14.6,24.8,20.9,177.6
2020-11-10 17:00:00,Manuel COUSIN,,42.785,-9.66416666666667,210,14.78,7.9,15.2,27.4,21.6,178.0
2020-11-10 21:00:00,Manuel COUSIN,,42.3202777777778,-10.4775,232,18.74,8.77,16.2,32.8,25.9,182.3
2020-11-11 04:00:00,Manuel COUSIN,,41.6827777777778,-11.8036111111111,237,18.65,8.18,17.2,47.9,36.4,207.2
2020-11-11 08:00:00,Manuel COUSIN,,41.3886111111111,-12.6630555555556,245,19.67,7.41,17.6,58.7,40.3,195.7
2020-11-11 11:00:00,Manuel COUSIN,,41.2225,-13.2905555555556,250,18.52,6.15,17.7,49.0,42.8,209.0
2020-11-11 14:00:00,Manuel COUSIN,,41.2083333333333,-13.8475,268,15.54,2.81,17.5,48.6,19.8,273.7
2020-11-11 17:00:00,Manuel COUSIN,,41.0627777777778,-14.5361111111111,254,19.96,5.8,16.4,35.3,26.6,31.6
2020-11-11 21:00:00,Manuel COUSIN,,41.0644444444444,-15.2552777777778,270,15.08,2.21,16.6,29.5,19.8,65.6
2020-11-12 04:00:00,Manuel COUSIN,,40.4386111111111,-16.1966666666667,228,15.08,6.77,18.4,25.2,14.8,185.2
2020-11-12 08:00:00,Manuel COUSIN,,40.1277777777778,-16.9469444444444,241,18.11,6.56,18.2,34.2,26.6,179.1
2020-11-12 11:00:00,Manuel COUSIN,,39.9633333333333,-17.8655555555556,257,26.76,6.3,17.9,49.7,36.4,164.1
2020-11-12 14:00:00,Manuel COUSIN,,39.8291666666667,-18.7927777777778,259,26.82,5.42,18.8,30.2,16.9,204.7
2020-11-12 17:00:00,Manuel COUSIN,,39.7661111111111,-19.1991666666667,258,11.82,2.31,18.8,14.4,35.6,0.7
2020-11-12 21:00:00,Manuel COUSIN,,39.1072222222222,-20.1483333333333,228,27.39,11.54,17.4,41.0,26.6,8.3
2020-11-13 04:00:00,Manuel COUSIN,,38.3122222222222,-21.3902777777778,230,19.91,7.92,17.3,22.7,11.9,46.4
2020-11-13 08:00:00,Manuel COUSIN,,37.9975,-21.5911111111111,207,9.8,4.94,17.6,11.5,5.4,46.9
2020-11-13 11:00:00,Manuel COUSIN,,37.7463888888889,-21.7863888888889,211,10.93,5.3,17.9,13.3,7.2,56.2
2020-11-13 14:00:00,Manuel COUSIN,,37.4308333333333,-21.8797222222222,193,12.02,6.43,18.2,14.0,13.7,48.5
2020-11-13 17:00:00,Manuel COUSIN,,36.9725,-21.8916666666667,181,16.98,9.15,19.2,24.5,16.2,81.3
2020-11-13 21:00:00,Manuel COUSIN,,36.3425,-22.2197222222222,203,18.98,9.78,20.2,28.8,22.0,59.8
2020-11-14 04:00:00,Manuel COUSIN,,35.6447222222222,-23.155,227,16.35,6.52,19.4,42.1,31.0,14.6
2020-11-14 08:00:00,Manuel COUSIN,,35.0444444444444,-23.8866666666667,225,23.54,9.52,19.5,42.1,32.4,358.6
2020-11-14 11:00:00,Manuel COUSIN,,34.58,-24.3188888888889,217,21.67,9.54,19.7,45.4,32.8,352.4
2020-11-14 14:00:00,Manuel COUSIN,,34.0338888888889,-24.0094444444444,155,22.35,10.82,19.9,48.6,33.5,353.7
2020-11-14 17:00:00,Manuel COUSIN,,33.4705555555556,-24.1011111111111,188,21.08,11.32,20.2,42.8,30.6,354.9
2020-11-14 21:00:00,Manuel COUSIN,,32.77,-24.3455555555556,196,20.28,10.6,21.0,40.7,32.0,3.6
2020-11-15 04:00:00,Manuel COUSIN,,31.6077777777778,-23.2258333333333,141,23.82,9.84,20.9,39.6,29.2,353.0
2020-11-15 08:00:00,Manuel COUSIN,,31.0047222222222,-22.5119444444444,135,23.84,8.53,21.6,46.8,31.3,351.9
2020-11-15 11:00:00,Manuel COUSIN,,30.4663888888889,-22.4272222222222,172,20.13,10.61,21.7,42.1,28.1,350.8
2020-11-15 14:00:00,Manuel COUSIN,,29.8830555555556,-22.6327777777778,197,22.61,11.95,21.9,34.2,23.8,352.0
2020-11-15 17:00:00,Manuel COUSIN,,29.3083333333333,-23.0061111111111,209,24.46,12.01,22.2,27.0,19.8,2.7
2020-11-15 21:00:00,Manuel COUSIN,,28.7783333333333,-23.5138888888889,220,19.22,8.42,22.3,18.7,11.2,37.8
2020-11-16 04:00:00,Manuel COUSIN,,27.9116666666667,-23.4044444444444,174,13.85,7.38,22.0,10.4,5.4,355.4
2020-11-16 08:00:00,Manuel COUSIN,,27.7491666666667,-23.4683333333333,199,4.78,2.49,21.9,7.9,3.2,19.5
2020-11-16 11:00:00,Manuel COUSIN,,27.6652777777778,-23.5075,202,3.37,1.72,22.1,6.8,2.5,49.3
2020-11-16 14:00:00,Manuel COUSIN,,27.5563888888889,-23.5038888888889,178,4.04,2.17,22.2,10.4,6.1,98.4
2020-11-16 17:00:00,Manuel COUSIN,,27.4491666666667,-23.5366666666667,195,4.11,2.18,22.2,12.2,7.9,105.7
2020-11-16 21:00:00,Manuel COUSIN,,27.0347222222222,-23.8005555555556,209,13.24,6.41,21.9,12.6,6.5,83.9
2020-11-17 04:00:00,Manuel COUSIN,,26.2897222222222,-23.7702777777778,178,11.83,6.37,22.1,22.7,15.1,44.7
2020-11-17 08:00:00,Manuel COUSIN,,25.7033333333333,-23.6516666666667,170,16.58,8.72,22.5,28.1,21.2,43.5
2020-11-17 11:00:00,Manuel COUSIN,,25.2113888888889,-23.8147222222222,197,19.04,9.99,23.0,34.6,25.6,44.3
2020-11-17 14:00:00,Manuel COUSIN,,24.8277777777778,-24.1969444444444,222,19.15,8.01,23.3,36.7,25.9,43.8
2020-11-17 17:00:00,Manuel COUSIN,,24.6144444444444,-24.8130555555556,249,22.21,4.67,23.3,40.3,31.0,35.0
2020-11-17 21:00:00,Manuel COUSIN,,23.9730555555556,-25.3219444444444,216,22.0,9.69,23.5,44.3,33.8,44.2
2020-11-18 04:00:00,Manuel COUSIN,,22.4325,-25.8247222222222,197,25.56,13.17,24.0,42.8,31.3,51.1
2020-11-18 08:00:00,Manuel COUSIN,,21.5625,-26.1472222222222,199,25.58,12.89,24.6,42.5,33.1,47.5
2020-11-18 11:00:00,Manuel COUSIN,,20.9711111111111,-26.4427777777778,205,24.17,11.52,24.9,43.6,34.2,51.2
2020-11-18 14:00:00,Manuel COUSIN,,20.3094444444444,-26.7205555555556,201,26.35,12.85,25.1,41.8,33.1,50.1
2020-11-18 17:00:00,Manuel COUSIN,,19.6433333333333,-26.9161111111111,195,25.61,12.97,25.1,41.8,32.4,50.5
2020-11-18 21:00:00,Manuel COUSIN,,18.7316666666667,-27.1975,196,26.39,13.22,25.2,43.6,34.6,49.1
2020-11-19 04:00:00,Manuel COUSIN,,17.2586111111111,-27.7788888888889,200,25.0,11.84,25.3,40.0,32.0,55.9
2020-11-19 08:00:00,Manuel COUSIN,,16.3527777777778,-28.0016666666667,193,25.87,12.92,25.7,39.2,31.0,49.6
2020-11-19 11:00:00,Manuel COUSIN,,15.6194444444444,-28.1205555555556,189,27.5,14.1,26.4,38.5,29.5,49.6
2020-11-19 14:00:00,Manuel COUSIN,,14.905,-28.2036111111111,186,26.65,14.06,26.5,37.1,29.5,49.3
2020-11-19 17:00:00,Manuel COUSIN,,14.2063888888889,-28.2266666666667,182,25.91,13.85,26.4,39.2,30.2,46.6
2020-11-19 21:00:00,Manuel COUSIN,,13.2252777777778,-28.245,181,27.28,14.62,26.4,38.2,29.2,48.8
2020-11-20 04:00:00,Manuel COUSIN,,11.6558333333333,-28.5272222222222,190,25.32,13.2,26.6,31.0,24.8,47.0
2020-11-20 08:00:00,Manuel COUSIN,,10.8280555555556,-28.5469444444444,181,23.02,12.34,27.0,30.6,20.9,66.2
2020-11-20 11:00:00,Manuel COUSIN,,10.2027777777778,-28.5555555555556,181,23.19,12.44,27.3,24.5,14.8,47.0
2020-11-20 14:00:00,Manuel COUSIN,,9.72,-28.6227777777778,188,18.06,9.48,27.6,22.0,14.0,35.7
2020-11-20 17:00:00,Manuel COUSIN,,9.305,-28.6152777777778,179,15.37,8.28,27.7,22.3,16.6,40.6
2020-11-20 21:00:00,Manuel COUSIN,,8.74444444444444,-28.4922222222222,168,15.95,8.58,27.4,24.5,18.7,38.0
2020-11-21 04:00:00,Manuel COUSIN,,7.80138888888889,-28.1777777777778,162,15.78,8.4,25.7,11.5,6.1,121.4
2020-11-21 08:00:00,Manuel COUSIN,,7.37083333333333,-28.0658333333333,166,12.35,6.64,26.3,9.7,9.0,67.4
2020-11-21 11:00:00,Manuel COUSIN,,7.125,-28.0963888888889,187,9.19,4.76,26.9,9.7,8.3,42.6
2020-11-21 14:00:00,Manuel COUSIN,,6.94416666666667,-28.2225,215,8.15,3.15,27.2,13.3,11.5,75.9
2020-11-21 17:00:00,Manuel COUSIN,,6.77472222222222,-28.2380555555556,185,6.32,3.29,26.3,14.8,7.9,98.1
2020-11-21 21:00:00,Manuel COUSIN,,6.18777777777778,-28.2905555555556,185,16.37,8.54,26.9,14.0,9.0,77.8
2020-11-22 04:00:00,Manuel COUSIN,,5.59861111111111,-28.5041666666667,200,9.95,4.63,26.3,15.5,11.9,130.7
2020-11-22 08:00:00,Manuel COUSIN,,5.185,-28.6941666666667,205,12.65,5.55,25.6,22.3,14.4,126.5
2020-11-22 11:00:00,Manuel COUSIN,,4.82972222222222,-28.7963888888889,196,13.7,6.55,26.3,21.6,15.1,133.2
2020-11-22 14:00:00,Manuel COUSIN,,4.42944444444444,-28.9816666666667,205,16.33,7.07,27.1,22.7,16.2,136.2
