date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Maxime SOREL,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Maxime SOREL,,46.4097222222222,-1.82611111111111,357,0.0,0.0,18.4,27.5,15.2,142
2020-11-08 15:00:00,Maxime SOREL,,46.3008333333333,-2.39222222222222,254,30.08,15.81,16.6,35.3,18.7,142.0
2020-11-08 17:00:00,Maxime SOREL,,46.2372222222222,-3.08111111111111,262,35.61,17.76,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Maxime SOREL,,46.1097222222222,-4.43638888888889,262,26.34,12.91,16.8,26.6,21.2,198.8
2020-11-09 04:00:00,Maxime SOREL,,45.9186111111111,-6.24055555555556,261,20.13,9.42,17.0,47.9,24.1,320.0
2020-11-09 08:00:00,Maxime SOREL,,45.8961111111111,-7.07722222222222,267,18.5,6.57,14.6,34.2,26.3,241.4
2020-11-09 11:00:00,Maxime SOREL,,45.9019444444444,-7.59416666666667,271,13.33,3.49,20.1,31.3,24.2,6.0
2020-11-09 14:00:00,Maxime SOREL,,45.4486111111111,-7.80722222222222,198,17.69,9.51,15.0,31.3,24.5,255.5
2020-11-09 17:00:00,Maxime SOREL,,44.9997222222222,-8.19777777777778,211,19.52,10.44,15.2,30.2,22.7,281.0
2020-11-09 21:00:00,Maxime SOREL,,44.3383333333333,-8.78388888888889,212,19.32,10.31,15.4,22.0,16.9,272.2
2020-11-10 04:00:00,Maxime SOREL,,43.5727777777778,-9.05722222222222,194,12.56,6.71,12.7,18.7,8.4,226
2020-11-10 08:00:00,Maxime SOREL,,43.2430555555556,-9.28722222222222,207,10.28,5.53,11.7,16.6,9.8,163
2020-11-10 11:00:00,Maxime SOREL,,42.8625,-9.64861111111111,215,17.17,9.05,14.8,27.0,22.7,162.1
2020-11-10 14:00:00,Maxime SOREL,,42.4044444444444,-10.1041666666667,216,21.04,11.02,15.9,23.0,22.0,175.6
2020-11-10 17:00:00,Maxime SOREL,,42.0561111111111,-10.5794444444444,225,22.02,10.9,16.2,25.2,21.2,182.7
2020-11-10 21:00:00,Maxime SOREL,,41.5422222222222,-11.6408333333333,237,23.32,10.23,17.4,40.0,30.6,184.3
2020-11-11 04:00:00,Maxime SOREL,,41.0216666666667,-13.3811111111111,248,22.35,8.07,17.8,52.9,41.4,193.0
2020-11-11 08:00:00,Maxime SOREL,,40.6975,-14.2619444444444,244,20.59,7.67,18.1,60.8,42.8,196.2
2020-11-11 11:00:00,Maxime SOREL,,40.6683333333333,-15.1336111111111,267,24.52,4.31,17.9,47.9,29.5,232.3
