date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Nicolas TROUSSEL,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Nicolas TROUSSEL,,46.43,-1.81972222222222,357,0.0,0.0,18.3,27.3,15.1,141
2020-11-08 15:00:00,Nicolas TROUSSEL,,46.3661111111111,-2.54611111111111,262,36.23,18.17,15.7,37.1,20.5,140.0
2020-11-08 17:00:00,Nicolas TROUSSEL,,46.3741666666667,-3.375,271,42.39,19.38,16.0,34.6,25.9,160.3
2020-11-08 21:00:00,Nicolas TROUSSEL,,46.2466666666667,-5.09583333333333,263,33.24,15.71,16.6,31.3,23.8,199.1
2020-11-09 04:00:00,Nicolas TROUSSEL,,46.5116666666667,-7.55361111111111,278,27.26,4.7,14.8,36.7,26.6,238.7
2020-11-09 08:00:00,Nicolas TROUSSEL,,46.91,-8.57472222222222,299,25.59,-1.41,14.4,37.1,28.1,254.9
2020-11-09 11:00:00,Nicolas TROUSSEL,,46.3461111111111,-8.68583333333333,188,21.09,11.04,14.9,30.2,22.0,255.2
2020-11-09 14:00:00,Nicolas TROUSSEL,,45.9302777777778,-8.86138888888889,196,16.06,8.63,14.9,31.0,23.8,273.4
2020-11-09 17:00:00,Nicolas TROUSSEL,,45.4572222222222,-9.28944444444444,212,20.74,11.02,14.9,31.0,23.0,292.9
2020-11-09 21:00:00,Nicolas TROUSSEL,,44.4902777777778,-9.56333333333333,191,24.37,12.95,15.4,21.6,19.4,266.9
2020-11-10 04:00:00,Nicolas TROUSSEL,,43.5758333333333,-9.58388888888889,181,14.52,7.34,15.2,17.6,13.3,216.0
2020-11-10 08:00:00,Nicolas TROUSSEL,,43.2277777777778,-9.27805555555556,148,11.48,3.62,11.4,16.6,8.4,161
2020-11-10 11:00:00,Nicolas TROUSSEL,,42.8725,-9.71083333333333,222,17.63,8.99,14.8,27.0,22.7,162.1
2020-11-10 14:00:00,Nicolas TROUSSEL,,42.5908333333333,-10.4222222222222,241,22.0,9.16,16.1,25.9,22.7,184.7
2020-11-10 17:00:00,Nicolas TROUSSEL,,42.3688888888889,-11.075,245,23.58,9.16,16.5,31.0,25.2,182.8
