date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Sam DAVIES,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Sam DAVIES,,46.4269444444444,-1.8225,357,0.0,0.0,18.3,27.4,15.1,141
2020-11-08 15:00:00,Sam DAVIES,,46.3466666666667,-2.49527777777778,260,34.91,17.81,15.7,37.1,20.5,140.0
2020-11-08 17:00:00,Sam DAVIES,,46.3491666666667,-3.27583333333333,270,39.95,18.44,16.0,34.6,25.9,160.3
2020-11-08 21:00:00,Sam DAVIES,,46.2569444444444,-4.73111111111111,264,28.06,13.23,16.7,29.5,23.4,199.9
2020-11-09 04:00:00,Sam DAVIES,,46.5497222222222,-7.00527777777778,280,25.34,8.27,14.7,45.7,32.0,224.1
2020-11-09 08:00:00,Sam DAVIES,,46.8138888888889,-7.99527777777778,291,23.15,0.7,14.7,35.3,27.0,254.7
2020-11-09 11:00:00,Sam DAVIES,,46.4216666666667,-8.255,204,15.98,8.62,17.4,31.7,14.8,300.0
2020-11-09 14:00:00,Sam DAVIES,,45.9358333333333,-8.42583333333333,194,18.52,9.88,14.9,30.6,23.4,268.7
2020-11-09 17:00:00,Sam DAVIES,,45.505,-8.86,215,19.52,10.29,15.0,28.8,22.0,289.0
2020-11-09 21:00:00,Sam DAVIES,,44.7066666666667,-9.51527777777778,210,22.8,12.2,15.2,22.3,19.8,266.6
2020-11-10 04:00:00,Sam DAVIES,,43.9977777777778,-9.91222222222222,202,12.13,6.55,15.3,22.7,19.1,225.1
2020-11-10 08:00:00,Sam DAVIES,,43.6066666666667,-10.1369444444444,202,11.78,6.36,15.7,24.1,19.1,197.0
2020-11-10 11:00:00,Sam DAVIES,,43.5677777777778,-10.7788888888889,265,17.3,4.1,16.0,33.1,26.3,198.6
2020-11-10 14:00:00,Sam DAVIES,,43.5175,-11.6788888888889,265,24.24,5.51,16.2,38.5,29.5,205.2
2020-11-10 17:00:00,Sam DAVIES,,43.4444444444444,-12.5636111111111,263,28.74,6.75,16.7,45.7,34.6,196.6
2020-11-10 21:00:00,Sam DAVIES,,43.3125,-13.9725,262,25.52,5.95,17.1,56.2,41.4,192.3
2020-11-11 04:00:00,Sam DAVIES,,42.835,-15.8577777777778,250,23.15,7.28,17.3,83.5,56.9,200.2
2020-11-11 08:00:00,Sam DAVIES,,42.4297222222222,-16.6191666666667,234,19.22,7.89,15.0,48.2,33.5,326.9
2020-11-11 11:00:00,Sam DAVIES,,41.805,-17.2047222222222,215,28.21,14.09,15.3,33.5,22.3,341.5
2020-11-11 14:00:00,Sam DAVIES,,41.4075,-17.7308333333333,225,20.72,9.4,15.4,26.3,16.2,359.1
2020-11-11 17:00:00,Sam DAVIES,,41.2286111111111,-18.2736111111111,246,16.5,5.08,15.6,22.0,12.6,51.4
2020-11-11 21:00:00,Sam DAVIES,,40.6780555555556,-18.4555555555556,194,15.78,8.5,16.1,28.1,19.8,84.7
2020-11-12 04:00:00,Sam DAVIES,,39.5427777777778,-19.9902777777778,225,25.93,11.4,18.9,35.6,36.7,139.9
2020-11-12 08:00:00,Sam DAVIES,,39.235,-20.7527777777778,242,18.48,5.82,18.9,22.0,7.6,180.5
2020-11-12 11:00:00,Sam DAVIES,,38.9141666666667,-21.3511111111111,235,20.93,7.49,16.9,61.9,45.7,348.3
2020-11-12 14:00:00,Sam DAVIES,,38.2838888888889,-22.1336111111111,224,32.56,13.83,17.1,37.1,28.8,353.4
2020-11-12 17:00:00,Sam DAVIES,,37.8427777777778,-22.7483333333333,227,24.28,9.61,17.3,28.4,20.2,15.1
2020-11-12 21:00:00,Sam DAVIES,,37.4955555555556,-23.6147222222222,243,21.35,5.9,17.3,24.5,21.6,50.5
2020-11-13 04:00:00,Sam DAVIES,,36.4202777777778,-24.6308333333333,217,21.41,9.53,15.8,37.8,20.0,40
2020-11-13 08:00:00,Sam DAVIES,,35.4052777777778,-24.8933333333333,192,28.82,15.27,19.7,55.8,42.1,47.7
2020-11-13 11:00:00,Sam DAVIES,,34.6008333333333,-24.9783333333333,185,29.93,16.11,21.2,57.2,42.5,53.3
2020-11-13 14:00:00,Sam DAVIES,,33.9975,-25.3094444444444,204,24.56,12.09,21.2,64.4,46.8,29.7
2020-11-13 17:00:00,Sam DAVIES,,33.5527777777778,-26.1641666666667,238,31.08,8.82,20.6,68.4,50.4,358.4
2020-11-13 21:00:00,Sam DAVIES,,32.5427777777778,-26.7113888888889,204,30.84,14.92,20.7,60.5,44.6,349.4
2020-11-14 04:00:00,Sam DAVIES,,30.84,-27.3891666666667,199,28.56,14.33,21.0,47.2,35.3,353.3
2020-11-14 08:00:00,Sam DAVIES,,29.9958333333333,-27.8727777777778,206,26.17,12.13,21.5,39.6,27.0,354.0
2020-11-14 11:00:00,Sam DAVIES,,29.5177777777778,-28.4788888888889,228,26.35,8.5,22.1,33.1,22.3,359.1
2020-11-14 14:00:00,Sam DAVIES,,29.1616666666667,-28.9402777777778,228,19.91,6.1,22.3,32.0,23.8,5.5
2020-11-14 17:00:00,Sam DAVIES,,28.7413888888889,-29.4683333333333,228,23.15,7.06,22.3,30.6,22.3,14.3
2020-11-14 21:00:00,Sam DAVIES,,28.2075,-29.8425,212,17.43,7.1,22.4,25.9,19.1,30.3
2020-11-15 04:00:00,Sam DAVIES,,27.1375,-29.6083333333333,169,17.32,9.35,22.6,23.4,16.9,44.9
2020-11-15 08:00:00,Sam DAVIES,,26.3697222222222,-29.4688888888889,171,21.63,11.68,22.7,27.7,19.1,65.5
