date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Sébastien SIMON,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Sébastien SIMON,,46.4172222222222,-1.82194444444444,357,0.0,0.0,18.4,27.4,15.1,142
2020-11-08 15:00:00,Sébastien SIMON,,46.3272222222222,-2.25611111111111,253,23.45,12.38,17.1,33.2,17.9,142
2020-11-08 17:00:00,Sébastien SIMON,,46.2502777777778,-2.80944444444444,258,28.91,14.8,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Sébastien SIMON,,46.1333333333333,-3.92527777777778,261,21.72,10.81,16.1,26.6,19.8,182.0
2020-11-09 04:00:00,Sébastien SIMON,,46.3905555555556,-5.53083333333333,282,18.09,6.43,15.3,43.9,36.7,207.5
2020-11-09 08:00:00,Sébastien SIMON,,46.5019444444444,-6.40166666666667,280,19.39,5.25,14.5,34.2,26.6,235.9
2020-11-09 11:00:00,Sébastien SIMON,,46.5511111111111,-7.04888888888889,276,16.61,3.88,15.1,31.3,22.0,246.7
2020-11-09 14:00:00,Sébastien SIMON,,46.4727777777778,-7.465,255,11.0,3.78,15.0,30.2,20.9,252.0
2020-11-09 17:00:00,Sébastien SIMON,,46.1202777777778,-7.78222222222222,212,15.39,8.23,17.7,27.4,9.4,360.0
2020-11-09 21:00:00,Sébastien SIMON,,45.6330555555556,-8.33861111111111,218,15.37,8.02,14.6,26.6,20.5,278.3
2020-11-10 04:00:00,Sébastien SIMON,,44.9883333333333,-8.81444444444445,207,11.54,6.21,15.0,17.3,16.6,232.6
2020-11-10 08:00:00,Sébastien SIMON,,44.7355555555556,-9.105,219,9.06,4.69,15.0,27.7,22.0,214.1
2020-11-10 11:00:00,Sébastien SIMON,,44.6252777777778,-9.56944444444444,251,12.91,4.54,15.8,30.2,22.7,206.9
2020-11-10 14:00:00,Sébastien SIMON,,44.4572222222222,-10.0975,246,15.28,5.9,15.8,40.0,30.2,206.3
2020-11-10 17:00:00,Sébastien SIMON,,44.2927777777778,-10.5533333333333,243,16.22,6.49,16.1,42.5,30.2,200.4
2020-11-10 21:00:00,Sébastien SIMON,,43.995,-11.3933333333333,243,16.61,6.54,16.7,54.0,36.0,199.1
2020-11-11 04:00:00,Sébastien SIMON,,43.5211111111111,-12.7697222222222,244,17.5,6.7,17.0,64.4,48.2,187.6
2020-11-11 08:00:00,Sébastien SIMON,,43.3255555555556,-13.5022222222222,250,15.76,5.23,17.1,82.8,59.4,218.4
2020-11-11 11:00:00,Sébastien SIMON,,43.2,-13.7141666666667,231,7.37,3.29,15.2,48.2,32.8,315.9
2020-11-11 14:00:00,Sébastien SIMON,,42.7402777777778,-13.9063888888889,197,17.82,9.62,15.3,31.7,26.3,326.5
2020-11-11 17:00:00,Sébastien SIMON,,42.3280555555556,-14.0847222222222,198,16.04,8.66,15.4,29.5,15.8,7.8
2020-11-11 21:00:00,Sébastien SIMON,,42.0844444444444,-14.4297222222222,226,9.82,4.58,15.3,18.0,10.4,81.5
2020-11-12 04:00:00,Sébastien SIMON,,42.5175,-14.4683333333333,356,6.89,-3.51,15.3,16.2,8.6,152.1
2020-11-12 08:00:00,Sébastien SIMON,,42.3283333333333,-14.5766666666667,203,5.7,3.06,16.7,28.4,22.3,160.4
2020-11-12 11:00:00,Sébastien SIMON,,42.0602777777778,-14.7197222222222,202,10.69,5.74,17.8,30.2,29.5,184.9
2020-11-12 14:00:00,Sébastien SIMON,,42.0083333333333,-14.8788888888889,246,4.78,1.62,17.8,31.7,29.5,206.0
2020-11-12 17:00:00,Sébastien SIMON,,41.8436111111111,-15.47,249,17.41,5.48,17.6,27.0,20.5,217.0
2020-11-12 21:00:00,Sébastien SIMON,,41.5030555555556,-16.1558333333333,236,17.09,6.86,16.8,20.5,13.3,184.9
2020-11-13 04:00:00,Sébastien SIMON,,41.2311111111111,-17.5719444444444,255,17.43,4.42,16.7,32.4,18.4,16.4
2020-11-13 08:00:00,Sébastien SIMON,,41.1727777777778,-17.9777777777778,259,8.63,1.76,16.6,11.9,6.5,329.0
2020-11-13 11:00:00,Sébastien SIMON,,41.0686111111111,-18.0191666666667,197,4.04,2.16,16.8,12.2,10.1,282.1
2020-11-13 14:00:00,Sébastien SIMON,,40.7947222222222,-17.8941666666667,161,10.74,5.04,17.1,16.6,11.9,256.8
2020-11-13 17:00:00,Sébastien SIMON,,40.4502777777778,-17.9077777777778,182,12.76,6.81,17.6,23.4,17.3,243.5
2020-11-13 21:00:00,Sébastien SIMON,,39.8444444444444,-17.7775,171,17.08,8.65,17.4,24.8,19.8,239.7
2020-11-14 04:00:00,Sébastien SIMON,,38.8311111111111,-18.0433333333333,191,16.43,8.87,18.3,25.9,16.6,235.8
2020-11-14 08:00:00,Sébastien SIMON,,38.4566666666667,-18.3355555555556,211,12.19,6.18,18.5,18.4,13.7,202.9
2020-11-14 11:00:00,Sébastien SIMON,,38.2830555555556,-18.3247222222222,177,6.44,3.38,19.1,12.6,9.0,246.5
2020-11-14 14:00:00,Sébastien SIMON,,37.9986111111111,-18.2758333333333,172,10.65,5.45,19.3,14.4,7.6,302.5
2020-11-14 17:00:00,Sébastien SIMON,,37.6913888888889,-18.4761111111111,207,12.8,6.63,19.2,9.4,4.0,310.8
2020-11-14 21:00:00,Sébastien SIMON,,37.3336111111111,-18.6555555555556,202,10.7,5.67,19.1,16.6,6.8,334.1
2020-11-15 04:00:00,Sébastien SIMON,,36.6858333333333,-18.9302777777778,199,10.87,5.8,19.2,25.6,17.6,343.1
2020-11-15 08:00:00,Sébastien SIMON,,36.3016666666667,-19.3055555555556,218,13.58,6.48,19.5,23.4,18.4,35.9
2020-11-15 11:00:00,Sébastien SIMON,,36.1033333333333,-19.4952777777778,218,9.28,4.42,19.7,26.6,18.4,49.4
2020-11-15 14:00:00,Sébastien SIMON,,35.6380555555556,-19.4780555555556,178,17.26,9.15,19.5,29.2,20.9,57.4
2020-11-15 17:00:00,Sébastien SIMON,,35.1133333333333,-19.4913888888889,181,19.45,10.39,19.8,39.2,27.4,56.7
2020-11-15 21:00:00,Sébastien SIMON,,34.3375,-19.5708333333333,185,21.65,11.65,21.1,36.7,30.2,51.4
2020-11-16 04:00:00,Sébastien SIMON,,32.805,-19.4969444444444,178,24.35,12.87,21.7,25.9,16.6,38.3
2020-11-16 08:00:00,Sébastien SIMON,,32.3322222222222,-19.8866666666667,215,16.0,7.86,21.7,24.1,18.4,323.2
2020-11-16 11:00:00,Sébastien SIMON,,31.9169444444444,-20.1472222222222,208,17.43,8.93,21.8,23.4,19.4,323.7
2020-11-16 14:00:00,Sébastien SIMON,,31.5072222222222,-20.1755555555556,183,15.2,8.17,21.7,21.2,10.4,282.0
2020-11-16 17:00:00,Sébastien SIMON,,31.0747222222222,-20.3230555555556,196,16.69,8.94,21.7,13.7,9.7,217.2
2020-11-16 21:00:00,Sébastien SIMON,,30.6963888888889,-20.2108333333333,166,10.85,5.39,21.6,14.0,9.7,227.2
