date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Alan  ROURA,,46.5022222222222,-1.79,0,0.0,0.0,14.3,16.5,10.5,147
2020-11-09 04:00:00,Alan  ROURA,,46.3369444444444,-6.20361111111111,264,19.69,8.6,15.6,49.7,34.2,198.6
2020-11-10 04:00:00,Alan  ROURA,,44.7688888888889,-9.76277777777778,210,12.59,6.72,15.3,20.2,16.2,250.5
2020-11-11 04:00:00,Alan  ROURA,,43.4638888888889,-14.9744444444444,260,24.24,6.05,16.9,64.4,48.2,190.2
2020-11-12 04:00:00,Alan  ROURA,,40.2013888888889,-18.2497222222222,211,21.89,11.13,17.5,32.4,23.0,95.6
2020-11-13 04:00:00,Alan  ROURA,,37.5341666666667,-22.7336111111111,229,14.63,5.69,17.1,23.4,17.6,63.1
2020-11-14 04:00:00,Alan  ROURA,,32.6819444444444,-25.2488888888889,222,28.34,11.76,21.0,65.9,50.4,355.0
2020-11-15 04:00:00,Alan  ROURA,,28.5844444444444,-28.3786111111111,217,16.37,6.56,22.0,25.9,18.0,30.1
2020-11-16 04:00:00,Alan  ROURA,,25.4236111111111,-28.2366666666667,194,19.35,9.78,22.7,24.1,15.1,88.5
2020-11-17 04:00:00,Alan  ROURA,,19.49,-28.8669444444444,181,32.61,17.3,24.6,37.8,27.7,64.0
2020-11-18 04:00:00,Alan  ROURA,,12.8911111111111,-28.0425,172,29.48,15.9,26.6,32.4,24.1,44.2
2020-11-19 04:00:00,Alan  ROURA,,7.17944444444444,-27.3061111111111,177,23.63,12.64,28.0,35.3,20.9,54.8
2020-11-20 04:00:00,Alan  ROURA,,2.09777777777778,-28.0586111111111,198,22.15,11.02,25.8,27.4,20.9,113.9
2020-11-21 04:00:00,Alan  ROURA,,-2.29027777777778,-29.6827777777778,193,21.65,10.56,26.4,31.7,22.7,121.4
2020-11-22 04:00:00,Alan  ROURA,,-7.53611111111111,-30.4925,187,27.78,13.49,26.2,35.6,26.3,103.9
2020-11-23 04:00:00,Alan  ROURA,,-13.0288888888889,-30.5583333333333,184,26.41,12.4,25.0,39.2,27.7,104.4
2020-11-24 04:00:00,Alan  ROURA,,-17.9208333333333,-30.5841666666667,180,22.13,9.9,23.9,29.5,20.9,109.8
2020-11-25 04:00:00,Alan  ROURA,,-22.4452777777778,-30.3366666666667,185,16.61,5.78,23.4,24.1,16.6,110.0
2020-11-26 04:00:00,Alan  ROURA,,-26.9369444444444,-31.0369444444444,183,27.04,8.55,21.2,46.4,33.5,102.4
2020-11-27 04:00:00,Alan  ROURA,,-32.7577777777778,-28.9536111111111,138,30.87,16.23,19.3,34.6,25.2,3.3
2020-11-28 04:00:00,Alan  ROURA,,-35.1838888888889,-22.7461111111111,104,26.5,13.74,18.2,42.8,31.3,319.0
2020-11-29 04:00:00,Alan  ROURA,,-37.2047222222222,-18.1480555555556,111,22.93,12.29,14.5,30.2,22.7,216.4
2020-11-30 04:00:00,Alan  ROURA,,-38.0,-13.1927777777778,100,11.52,5.99,13.7,11.9,5.0,207.9
2020-12-01 04:00:00,Alan  ROURA,,-39.4552777777778,-10.8163888888889,126,16.11,8.52,13.5,22.0,16.6,338.0
2020-12-02 04:00:00,Alan  ROURA,,-41.9647222222222,-7.13972222222222,169,18.0,5.22,11.4,26.3,21.2,315.5
2020-12-03 04:00:00,Alan  ROURA,,-43.6755555555556,-0.8025,100,26.82,14.45,9.3,24.1,19.8,319.2
2020-12-04 04:00:00,Alan  ROURA,,-43.9730555555556,5.92583333333333,94,20.19,10.8,8.8,24.5,20.5,4.1
2020-12-05 04:00:00,Alan  ROURA,,-43.9775,13.6130555555556,77,21.43,10.78,10.2,28.4,22.0,326.3
2020-12-06 04:00:00,Alan  ROURA,,-43.9444444444444,17.4469444444444,123,2.26,1.08,9.4,10.4,8.3,262.4
2020-12-07 04:00:00,Alan  ROURA,,-44.8261111111111,20.9816666666667,98,15.76,8.48,9.6,24.5,19.4,24.2
2020-12-08 04:00:00,Alan  ROURA,,-43.9272222222222,27.2422222222222,71,16.85,8.6,9.3,29.5,24.8,345.5
2020-12-09 04:00:00,Alan  ROURA,,-41.3836111111111,29.3094444444444,26,17.33,3.02,13.8,67.0,45.4,80.6
2020-12-10 04:00:00,Alan  ROURA,,-41.5347222222222,36.87,84,29.59,15.32,15.9,86.8,61.6,343.8
2020-12-11 04:00:00,Alan  ROURA,,-39.4916666666667,41.9952777777778,58,19.95,5.13,16.6,29.5,19.1,156.5
2020-12-12 04:00:00,Alan  ROURA,,-40.7713888888889,49.5836111111111,103,30.41,15.86,15.6,36.7,29.5,344.8
2020-12-13 04:00:00,Alan  ROURA,,-41.9047222222222,58.5325,89,34.41,16.88,15.1,36.0,28.4,318.0
2020-12-14 04:00:00,Alan  ROURA,,-43.5480555555556,63.755,103,20.93,11.19,13.1,37.8,29.2,247.7
2020-12-15 04:00:00,Alan  ROURA,,-43.72,67.2011111111111,98,15.98,8.48,7.7,11.5,3.6,72.7
